samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.1519705355167389,2.280937671661377,0.6822916269302368,1.9835904836654663,0.2261146456003189,3.1226587295532227,0.1915804147720337,2.1984832286834717,0.7439236044883728,1.7930524349212646,0.2364649623632431,3.6594369411468506,0.16082802414894104,2.2676122188568115,0.6666666269302368,1.7778041362762451,0.22064092755317688,4.076749801635742
200,0.15266719460487366,2.229835033416748,0.43359375,2.585583448410034,0.26303741335868835,2.6098880767822266,0.12957802414894104,2.253518581390381,0.4375,2.602065086364746,0.25139331817626953,2.2616958618164062,0.16590365767478943,2.238663673400879,0.390625,2.5040535926818848,0.2603503167629242,2.2543392181396484
400,0.29747211933135986,2.0632822513580322,0.6071428656578064,1.7967193126678467,0.32663217186927795,2.212096691131592,0.32653263211250305,2.054445266723633,0.7901785969734192,1.5068978071212769,0.3414609730243683,2.219520092010498,0.30354300141334534,1.9504292011260986,0.6607142686843872,1.7638452053070068,0.31498804688453674,2.274883985519409
600,0.32225319743156433,1.9071143865585327,0.6421874761581421,1.7519365549087524,0.35280653834342957,2.169344663619995,0.3218550980091095,1.9502032995224,0.7052083611488342,1.6545807123184204,0.3689291477203369,2.123746633529663,0.35051751136779785,1.9485923051834106,0.7322916984558105,1.5514066219329834,0.38057324290275574,2.0852766036987305
800,0.3821656107902527,1.7916842699050903,0.7055288553237915,1.5720155239105225,0.4050557315349579,1.9012256860733032,0.33807721734046936,1.8384076356887817,0.6213942170143127,1.845726490020752,0.3905254900455475,1.8927406072616577,0.36494824290275574,1.8010802268981934,0.7007211446762085,1.674979329109192,0.3997810482978821,1.966949224472046
1000,0.38256368041038513,1.763349175453186,0.695117175579071,1.5539096593856812,0.42665207386016846,1.8292100429534912,0.35698646306991577,1.7459152936935425,0.662304699420929,1.6811838150024414,0.42884156107902527,1.797703504562378,0.3509156107902527,1.756120204925537,0.5562499761581421,2.0007896423339844,0.3865445852279663,1.9462449550628662
2000,0.5136345624923706,1.4117748737335205,0.68505859375,1.3926079273223877,0.5212977528572083,1.5265473127365112,0.5047770738601685,1.452208161354065,0.73046875,1.3827372789382935,0.5137341022491455,1.5560131072998047,0.506667971611023,1.438119888305664,0.70947265625,1.3695062398910522,0.5074641704559326,1.575873851776123
4000,0.6392316818237305,1.062768816947937,0.735615074634552,1.2456097602844238,0.6423168778419495,1.1542396545410156,0.6249004602432251,1.1003748178482056,0.7482638955116272,1.207204818725586,0.628284215927124,1.2227742671966553,0.6326631903648376,1.0766575336456299,0.7304067611694336,1.277321696281433,0.6299760937690735,1.1704882383346558
6000,0.6838176846504211,0.9271588921546936,0.7304410934448242,1.229341745376587,0.6935708522796631,0.934634268283844,0.6767516136169434,0.9379485249519348,0.7521054744720459,1.1652785539627075,0.6880971193313599,0.9589987397193909,0.6723726391792297,0.9417225122451782,0.7190269827842712,1.2598943710327148,0.6774482727050781,0.9945594072341919
8000,0.7163614630699158,0.83222895860672,0.7422500252723694,1.1623939275741577,0.7285031676292419,0.8308925628662109,0.7160629034042358,0.8309306502342224,0.7446249723434448,1.1447032690048218,0.7244227528572083,0.8560687303543091,0.7212380766868591,0.8400027751922607,0.749625027179718,1.1263724565505981,0.7297969460487366,0.8466537594795227
10000,0.7403463125228882,0.7590809464454651,0.7362658977508545,1.1551696062088013,0.7489052414894104,0.7495193481445312,0.7416401505470276,0.7524389624595642,0.7404458522796631,1.1383869647979736,0.7442277073860168,0.7715773582458496,0.7427348494529724,0.7519915103912354,0.7331807613372803,1.154470443725586,0.7544785141944885,0.7485347390174866
20000,0.7963773608207703,0.5846942663192749,0.7692192196846008,1.018444299697876,0.8104100227355957,0.5695975422859192,0.8065286874771118,0.5787767767906189,0.7883885502815247,0.9508662819862366,0.8152866363525391,0.5724068284034729,0.8146895170211792,0.5690026879310608,0.7907348275184631,0.9363632202148438,0.8205612897872925,0.5591567754745483
30000,0.8421576619148254,0.4833032488822937,0.832133948802948,0.8039869666099548,0.8423566818237305,0.47926414012908936,0.8382762670516968,0.5021213889122009,0.8331446051597595,0.798103392124176,0.8413614630699158,0.4883487820625305,0.8365843892097473,0.49360379576683044,0.8243826031684875,0.8143107295036316,0.8416600227355957,0.4781641960144043
40000,0.8445461988449097,0.4751933515071869,0.8679749965667725,0.6802314519882202,0.8507165312767029,0.4446014165878296,0.8462380766868591,0.47580280900001526,0.8696500062942505,0.6757065057754517,0.8516122698783875,0.45272448658943176,0.8423566818237305,0.4693589508533478,0.8679999709129333,0.6748594045639038,0.8508160710334778,0.46013766527175903
