samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.14818869531154633,2.2512991428375244,0.6449652910232544,1.0461792945861816,0.21198248863220215,3.6866984367370605,0.2073049396276474,2.220637083053589,0.7118055820465088,0.9569334983825684,0.24820859730243683,3.3474090099334717,0.16958598792552948,2.281554698944092,0.7612847089767456,0.6924971342086792,0.22860270738601685,3.350471258163452
200,0.15744426846504211,2.2363739013671875,0.49609375,1.3999898433685303,0.24552150070667267,2.65691876411438,0.25069665908813477,2.2328994274139404,0.40625,1.4575681686401367,0.22999602556228638,2.529599905014038,0.13276274502277374,2.2978644371032715,0.4375,1.6659655570983887,0.22521895170211792,2.8226497173309326
400,0.32255175709724426,2.0525803565979004,0.7276785969734192,0.7909420132637024,0.3291202187538147,2.2355496883392334,0.318670392036438,1.9919978380203247,0.71875,0.887186586856842,0.34862658381462097,2.17805552482605,0.3018511235713959,1.9781616926193237,0.6986607313156128,0.9077892303466797,0.33489251136779785,2.208256244659424
600,0.3164809048175812,1.9144392013549805,0.6260417103767395,1.040621280670166,0.33280253410339355,2.930893898010254,0.3884355127811432,1.9079463481903076,0.7796875238418579,0.6705012917518616,0.3989848792552948,2.234246015548706,0.3383758068084717,1.9066959619522095,0.6723958253860474,0.8745487332344055,0.39231687784194946,2.0081686973571777
800,0.3717157542705536,1.7886860370635986,0.682692289352417,0.9243956208229065,0.40167197585105896,1.9229859113693237,0.38196656107902527,1.7188191413879395,0.6911057829856873,0.8507028222084045,0.4216759502887726,1.9532042741775513,0.3772890269756317,1.718010425567627,0.7283653616905212,0.8069058656692505,0.41530653834342957,1.9474563598632812
1000,0.4033638536930084,1.7754695415496826,0.712695300579071,0.8066860437393188,0.4336186349391937,1.942556619644165,0.3887340724468231,1.656688928604126,0.65234375,1.0073988437652588,0.4268511235713959,1.8148193359375,0.40266719460487366,1.75174081325531,0.724609375,0.7876640558242798,0.44436705112457275,1.9589637517929077
2000,0.5457802414894104,1.3097227811813354,0.69677734375,0.8708543181419373,0.555832028388977,1.4204699993133545,0.5171178579330444,1.4037202596664429,0.69091796875,0.8651678562164307,0.5320461988449097,1.567151665687561,0.5385151505470276,1.334721326828003,0.7001953125,0.837119996547699,0.5361266136169434,1.4901078939437866
4000,0.6409235596656799,1.0509995222091675,0.7023809552192688,0.8476447463035583,0.6502786874771118,1.0969672203063965,0.6390326619148254,1.0501073598861694,0.703125,0.8275651335716248,0.6492834687232971,1.1027138233184814,0.6304737329483032,1.0722874402999878,0.6894841194152832,0.8615179657936096,0.6508758068084717,1.0866791009902954
6000,0.6997412443161011,0.894060492515564,0.6994680762290955,0.8299859762191772,0.7226313948631287,0.8841648101806641,0.6801353693008423,0.9241727590560913,0.6918772459030151,0.8672409057617188,0.6915804147720337,0.9361732602119446,0.6841162443161011,0.9146351218223572,0.7220190167427063,0.7713825106620789,0.6968550682067871,0.933444082736969
8000,0.7197452187538147,0.8179426193237305,0.6830000281333923,0.8739746809005737,0.7288017272949219,0.8253251314163208,0.7257165312767029,0.8186773061752319,0.7196249961853027,0.7837837934494019,0.7339769005775452,0.8114253878593445,0.7196456789970398,0.8149872422218323,0.7022500038146973,0.8171181082725525,0.7291998267173767,0.8224577903747559
10000,0.7560708522796631,0.7381790280342102,0.7160629034042358,0.7878065705299377,0.758957028388977,0.7315369844436646,0.737460196018219,0.7663480639457703,0.7169585824012756,0.8007193207740784,0.7525875568389893,0.7681094408035278,0.7423368096351624,0.7390112280845642,0.696755588054657,0.8459360599517822,0.7548766136169434,0.7539699077606201
20000,0.8185708522796631,0.5407401919364929,0.7775558829307556,0.6049219965934753,0.8241441249847412,0.5348770022392273,0.8185708522796631,0.5511986017227173,0.7864416837692261,0.6031776666641235,0.8221536874771118,0.5415599942207336,0.8138933181762695,0.5641220211982727,0.7773562073707581,0.625159740447998,0.8218550682067871,0.5459503531455994
30000,0.8449442386627197,0.4766871929168701,0.8277362585067749,0.4797917902469635,0.8512141704559326,0.45850008726119995,0.8381767272949219,0.49654072523117065,0.8302794694900513,0.4788016676902771,0.8456408977508545,0.4759027659893036,0.840465784072876,0.4804128110408783,0.8303349018096924,0.4773215055465698,0.8428543210029602,0.4683966636657715
40000,0.8480294346809387,0.46218395233154297,0.8703500032424927,0.3658592402935028,0.8540008068084717,0.44772329926490784,0.843949019908905,0.46282070875167847,0.8747249841690063,0.355103462934494,0.8496218323707581,0.4610079228878021,0.8486266136169434,0.46040067076683044,0.8741499781608582,0.3624071180820465,0.8541003465652466,0.458376944065094
