samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.6618232727050781,0.9186196327209473,0.9036458730697632,0.5231555700302124,0.6741189956665039,0.9045802354812622,0.6661027073860168,0.9128509163856506,0.9114583730697632,0.594535231590271,0.6771941781044006,0.8930730819702148,0.653363823890686,0.9812218546867371,0.8897569179534912,0.4979524314403534,0.6618185043334961,0.976465106010437
200,0.7032245397567749,0.8563321828842163,0.84375,0.6982202529907227,0.710106372833252,0.859946072101593,0.6798368096351624,0.93658846616745,0.8515625,0.726830780506134,0.6674700975418091,0.9371430277824402,0.6762539744377136,0.9581086039543152,0.890625,0.5969328284263611,0.6837599873542786,0.9617235064506531
400,0.7204418778419495,0.8003438711166382,0.8459821343421936,0.5659610629081726,0.7319647669792175,0.8121867775917053,0.7271098494529724,0.8136211037635803,0.8683035969734192,0.560878574848175,0.740442156791687,0.8170333504676819,0.7426353693008423,0.7841952443122864,0.9017857313156128,0.41947150230407715,0.7494181990623474,0.799410879611969
600,0.7266122698783875,0.7575686573982239,0.8687499761581421,0.5156603455543518,0.7581449747085571,0.7850489616394043,0.7435310482978821,0.7558140158653259,0.861458420753479,0.5581938624382019,0.759973406791687,0.7900076508522034,0.7618431448936462,0.7135574221611023,0.8755208849906921,0.4692900776863098,0.7644614577293396,0.7742226719856262
800,0.7681130766868591,0.7037136554718018,0.8870192170143127,0.47210925817489624,0.7772606611251831,0.7671535611152649,0.7725915312767029,0.7121886014938354,0.859375,0.5230721235275269,0.7858211398124695,0.7388803958892822,0.762539803981781,0.6821322441101074,0.8834134340286255,0.4514905512332916,0.780834436416626,0.7293189764022827
1000,0.7636345624923706,0.677262544631958,0.8896484375,0.46416670083999634,0.7967919111251831,0.7105201482772827,0.7612460255622864,0.7002731561660767,0.877148449420929,0.4916090667247772,0.7945478558540344,0.7131511569023132,0.7723925113677979,0.6832159757614136,0.8876953125,0.4307916462421417,0.7919713854789734,0.7341528534889221
2000,0.8044387102127075,0.6193109154701233,0.90234375,0.36007916927337646,0.8248836398124695,0.6291351318359375,0.7990645170211792,0.5918503403663635,0.88623046875,0.4054234027862549,0.8232213854789734,0.6320556402206421,0.8043391704559326,0.5982212424278259,0.88818359375,0.3937153220176697,0.8184009194374084,0.6301831007003784
4000,0.8479299545288086,0.4844052195549011,0.9141865372657776,0.30339086055755615,0.8653590679168701,0.4664187431335449,0.8305135369300842,0.4976532459259033,0.8913690447807312,0.3558601140975952,0.8523104786872864,0.5009435415267944,0.8295183181762695,0.48148787021636963,0.8926091194152832,0.36259034276008606,0.8556349873542786,0.4827243983745575
6000,0.8571854829788208,0.4310294985771179,0.8932291269302368,0.3495190441608429,0.8726728558540344,0.4189273715019226,0.8549960255622864,0.44670388102531433,0.8937832713127136,0.3457770347595215,0.8715924024581909,0.44736793637275696,0.8602706789970398,0.4498119354248047,0.9006538391113281,0.3282841145992279,0.8733377456665039,0.43598300218582153
8000,0.8715167045593262,0.40978866815567017,0.8922500014305115,0.3469235301017761,0.8833111524581909,0.38125506043434143,0.8633558750152588,0.4134388267993927,0.8762500286102295,0.3765064775943756,0.8799867033958435,0.41704750061035156,0.8694267272949219,0.41203248500823975,0.8798750042915344,0.3677394986152649,0.8833111524581909,0.3935592770576477
10000,0.8804737329483032,0.3791760802268982,0.884255588054657,0.36154112219810486,0.8898770213127136,0.35581254959106445,0.8654458522796631,0.3951107859611511,0.8614649772644043,0.4023016691207886,0.8816489577293396,0.3912433385848999,0.8768908977508545,0.3853381276130676,0.8820660710334778,0.3648395240306854,0.888048529624939,0.36828577518463135
20000,0.8909235596656799,0.339913934469223,0.9024560451507568,0.2894207537174225,0.9035904407501221,0.31048956513404846,0.8907245397567749,0.35508695244789124,0.9033046960830688,0.284978985786438,0.8995179533958435,0.33196642994880676,0.8886345624923706,0.34372061491012573,0.9002096652984619,0.29509326815605164,0.8975232839584351,0.332851767539978
30000,0.8952030539512634,0.3307751417160034,0.931891918182373,0.20879840850830078,0.9060006737709045,0.29755666851997375,0.894207775592804,0.3258761465549469,0.9265725016593933,0.21944941580295563,0.9016788601875305,0.31085696816444397,0.8941082954406738,0.3275195062160492,0.9276496767997742,0.21551720798015594,0.901512622833252,0.32086101174354553
40000,0.8944068551063538,0.3170391321182251,0.9466500282287598,0.16302214562892914,0.9059175252914429,0.2994823753833771,0.8965963125228882,0.3247951567173004,0.9473999738693237,0.16513192653656006,0.9029255509376526,0.30930981040000916,0.8954020738601685,0.3204411566257477,0.9466000199317932,0.16658379137516022,0.9030917286872864,0.31395068764686584
48000,0.8974920511245728,0.3155403733253479,0.9577083587646484,0.13332900404930115,0.9047539830207825,0.30097636580467224,0.8952030539512634,0.3212255835533142,0.956416666507721,0.1356007158756256,0.9026762247085571,0.30784183740615845,0.8955016136169434,0.3240494728088379,0.9555624723434448,0.1351432353258133,0.9026762247085571,0.3137870132923126
