samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.6658041477203369,0.908513069152832,0.8663194179534912,0.5408778786659241,0.6731216907501221,0.8938019871711731,0.665207028388977,0.925921618938446,0.8402777910232544,0.6445268392562866,0.6742021441459656,0.9035281538963318,0.6353503465652466,0.9880837798118591,0.9392361044883728,0.49943333864212036,0.6500166058540344,0.9891261458396912
200,0.6970541477203369,0.8826786875724792,0.8828125,0.4364243149757385,0.698387622833252,0.876589834690094,0.6776472926139832,0.8856529593467712,0.921875,0.4224514365196228,0.6881648898124695,0.8746131658554077,0.6897889971733093,0.8695725202560425,0.796875,0.6133767366409302,0.6926529407501221,0.8531806468963623
400,0.727707028388977,0.7969406247138977,0.8861607313156128,0.45406532287597656,0.726978063583374,0.8044263124465942,0.6986464858055115,0.8482176065444946,0.921875,0.37769994139671326,0.7143450975418091,0.8302345871925354,0.7253184914588928,0.8024569153785706,0.8772321343421936,0.43797093629837036,0.7332114577293396,0.7885278463363647
600,0.75,0.7245808839797974,0.916145920753479,0.31167662143707275,0.772606372833252,0.7272688150405884,0.7228304147720337,0.7541043758392334,0.9010416865348816,0.37660521268844604,0.7421044111251831,0.7544731497764587,0.7601512670516968,0.7137907147407532,0.8833333849906921,0.41014647483825684,0.7685338854789734,0.7084531784057617
800,0.7679139971733093,0.6560864448547363,0.9134615659713745,0.3550439178943634,0.7741023898124695,0.6563154458999634,0.7555732727050781,0.6900151968002319,0.9182692170143127,0.34054070711135864,0.7682845592498779,0.681566596031189,0.7651273608207703,0.6720261573791504,0.9242788553237915,0.36798837780952454,0.7800033092498779,0.6612117290496826
1000,0.7936902642250061,0.5856768488883972,0.915820300579071,0.3456937074661255,0.7991189956665039,0.5691786408424377,0.7684116363525391,0.6599851250648499,0.9203125238418579,0.3287239968776703,0.78125,0.6465516686439514,0.784335196018219,0.6368059515953064,0.895312488079071,0.3996597230434418,0.7906416058540344,0.6231419444084167
2000,0.8137937784194946,0.5285467505455017,0.916015625,0.32478001713752747,0.8241356611251831,0.5155220627784729,0.787917971611023,0.5935909152030945,0.93408203125,0.2588447630405426,0.8089262247085571,0.5835285186767578,0.8117038011550903,0.5535658597946167,0.93603515625,0.2570495903491974,0.8191489577293396,0.5501107573509216
4000,0.8385748267173767,0.5065243244171143,0.9652777910232544,0.13919474184513092,0.8421708941459656,0.4897817373275757,0.824840784072876,0.4999629259109497,0.9439483880996704,0.20905905961990356,0.8458278179168701,0.4844057261943817,0.831707775592804,0.47629761695861816,0.9166666865348816,0.28735238313674927,0.8405917286872864,0.47877392172813416
6000,0.8479299545288086,0.45423218607902527,0.9452016949653625,0.1927034854888916,0.854637622833252,0.4324094355106354,0.8397691249847412,0.4709211587905884,0.9645389914512634,0.15001782774925232,0.8551362752914429,0.46377497911453247,0.8487260937690735,0.4379355013370514,0.9300199747085571,0.24539408087730408,0.8528091907501221,0.43182653188705444
8000,0.8498208522796631,0.44862765073776245,0.9509999752044678,0.17699149250984192,0.8633643388748169,0.41823118925094604,0.8506170511245728,0.44336092472076416,0.968500018119812,0.13375820219516754,0.8616189956665039,0.4538673758506775,0.8553941249847412,0.419381320476532,0.9355000257492065,0.23152437806129456,0.8636137247085571,0.4049249291419983
10000,0.8586783409118652,0.4220375120639801,0.9528264403343201,0.17042596638202667,0.8683510422706604,0.3986991047859192,0.8405652642250061,0.44550755620002747,0.9659633636474609,0.13237209618091583,0.8625332713127136,0.43269553780555725,0.8643510937690735,0.4033750295639038,0.9334195852279663,0.22850888967514038,0.8695977330207825,0.39786088466644287
20000,0.8760947585105896,0.36973822116851807,0.9603134989738464,0.14168718457221985,0.8876329660415649,0.35107913613319397,0.8708200454711914,0.3914211392402649,0.9766373634338379,0.10180146992206573,0.879321813583374,0.38359934091567993,0.8762937784194946,0.3687611520290375,0.9554712176322937,0.15765678882598877,0.8824800252914429,0.35706910490989685
30000,0.8823646306991577,0.35648074746131897,0.9616315364837646,0.13605602085590363,0.891040563583374,0.3292105197906494,0.8853503465652466,0.34611108899116516,0.9510594606399536,0.16214562952518463,0.8934507966041565,0.33169567584991455,0.8867436051368713,0.3300817906856537,0.9511483311653137,0.16315710544586182,0.8930352330207825,0.3268756568431854
40000,0.8892316818237305,0.32647186517715454,0.9540249705314636,0.15650010108947754,0.9013463854789734,0.3048892915248871,0.8901273608207703,0.327109158039093,0.9518749713897705,0.16367469727993011,0.8987699747085571,0.3104320168495178,0.8933120965957642,0.3270396292209625,0.9464750289916992,0.17408350110054016,0.8972739577293396,0.3151582181453705
48000,0.8923168778419495,0.3185080289840698,0.9489791393280029,0.16588999330997467,0.9020112752914429,0.2909276783466339,0.8956010937690735,0.3153994679450989,0.9509375095367432,0.1632336527109146,0.9035072922706604,0.2954643666744232,0.8933120965957642,0.31881392002105713,0.950166642665863,0.16265812516212463,0.898853063583374,0.3066147565841675
