samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.6119625568389893,1.4156832695007324,0.6579861044883728,0.07130198180675507,0.6151928305625916,1.4052753448486328,0.602707028388977,1.3898364305496216,0.6041666269302368,0.06706428527832031,0.6136137247085571,1.3778189420700073,0.5961385369300842,1.347570538520813,0.7022569179534912,0.07027584314346313,0.5985704660415649,1.3459776639938354
200,0.643909215927124,1.1244972944259644,0.76953125,0.05529675632715225,0.6517619490623474,1.1182518005371094,0.5493630766868591,1.2374436855316162,0.73046875,0.05688595399260521,0.5596742033958435,1.2242679595947266,0.6031050682067871,1.1799967288970947,0.7578125,0.057857073843479156,0.608045220375061,1.1800628900527954
400,0.6753582954406738,0.8613938093185425,0.6852678656578064,0.04300970211625099,0.6759474873542786,0.8644844889640808,0.6678941249847412,0.8958877325057983,0.7544642686843872,0.040063656866550446,0.6768617033958435,0.8807334899902344,0.6772491931915283,0.8638817071914673,0.7723214030265808,0.0429363027215004,0.678856372833252,0.8767949938774109
600,0.7142714858055115,0.7736960053443909,0.7604166865348816,0.04005178064107895,0.7204122543334961,0.7667939066886902,0.6993431448936462,0.8300038576126099,0.699999988079071,0.042418960481882095,0.7059507966041565,0.81611168384552,0.7130772471427917,0.8005688190460205,0.7755208611488342,0.0407639779150486,0.7176695466041565,0.8057611584663391
800,0.7239251732826233,0.7416341304779053,0.7403846383094788,0.04042751342058182,0.7298869490623474,0.7310396432876587,0.7168591022491455,0.7845478653907776,0.703125,0.0412876233458519,0.7256482839584351,0.7650159597396851,0.728204607963562,0.7584642767906189,0.7163461446762085,0.041029445827007294,0.7228224873542786,0.7516737580299377
1000,0.7408439517021179,0.708352267742157,0.7193359136581421,0.040358126163482666,0.7418550252914429,0.6932643055915833,0.7354697585105896,0.723237156867981,0.7398437261581421,0.0406772717833519,0.748670220375061,0.7042417526245117,0.737261176109314,0.7281745076179504,0.731640636920929,0.040401965379714966,0.741356372833252,0.7179617285728455
2000,0.768909215927124,0.6315927505493164,0.72021484375,0.04003805294632912,0.7736037373542786,0.604689359664917,0.7753781676292419,0.625848114490509,0.724609375,0.039821378886699677,0.7854887247085571,0.6102063655853271,0.7662221193313599,0.6309150457382202,0.7431640625,0.03953677415847778,0.769946813583374,0.6267184615135193
4000,0.7856289744377136,0.5698124170303345,0.7400793433189392,0.03786323964595795,0.7970412373542786,0.5469248294830322,0.800159215927124,0.5478398203849792,0.765625,0.03775548189878464,0.806432843208313,0.5329629778862,0.7761743664741516,0.6159666776657104,0.814980149269104,0.03180965781211853,0.7829122543334961,0.6074232459068298
6000,0.8075239062309265,0.5321690440177917,0.7520501017570496,0.03775747865438461,0.8218916058540344,0.5098267793655396,0.8098129034042358,0.5368589162826538,0.7710549235343933,0.03724468871951103,0.8188164830207825,0.5209975838661194,0.7899084687232971,0.5866227149963379,0.7754876017570496,0.03478189930319786,0.7947971820831299,0.5797248482704163
8000,0.816082775592804,0.5182267427444458,0.7571250200271606,0.0372445210814476,0.8280419111251831,0.49548137187957764,0.8125995397567749,0.5308502316474915,0.7698749899864197,0.037143029272556305,0.8219747543334961,0.516209065914154,0.8087181448936462,0.5343142747879028,0.7792500257492065,0.03437305614352226,0.8174036145210266,0.5264464616775513
10000,0.8198646306991577,0.5072829723358154,0.7604498267173767,0.03678007051348686,0.8306183218955994,0.48516836762428284,0.8137937784194946,0.5186836123466492,0.7826433181762695,0.03655993938446045,0.8239694237709045,0.5053093433380127,0.8145899772644043,0.5238531231880188,0.7827428579330444,0.03411860764026642,0.8186502456665039,0.5179811120033264
20000,0.8319068551063538,0.4814578890800476,0.8067591786384583,0.033716924488544464,0.8384308218955994,0.458477258682251,0.8299164175987244,0.4840621054172516,0.8031150102615356,0.03393838182091713,0.83984375,0.46831586956977844,0.8298168778419495,0.4819106161594391,0.803414523601532,0.032941192388534546,0.8319481611251831,0.47362929582595825
30000,0.8364848494529724,0.46962422132492065,0.8080690503120422,0.032077495008707047,0.8449966907501221,0.4440368115901947,0.8335987329483032,0.4743495285511017,0.798629641532898,0.032208457589149475,0.8479055762290955,0.45494553446769714,0.8346934914588928,0.4755541682243347,0.8161091208457947,0.0321609266102314,0.8364361524581909,0.4667568504810333
40000,0.8364848494529724,0.47300875186920166,0.8219749927520752,0.031030921265482903,0.842918872833252,0.4495447874069214,0.8360868096351624,0.4675716757774353,0.8149750232696533,0.031157726421952248,0.8486536145210266,0.4465774893760681,0.8389729261398315,0.47025322914123535,0.821399986743927,0.03085458092391491,0.8427526354789734,0.4592552185058594
48000,0.8345939517021179,0.4766431152820587,0.8329583406448364,0.029621319845318794,0.8447473645210266,0.4499630928039551,0.8331010937690735,0.4782605469226837,0.832895815372467,0.02978622168302536,0.8461602330207825,0.4565945863723755,0.8332006335258484,0.4780963063240051,0.8333125114440918,0.02962328866124153,0.8395112752914429,0.46583837270736694
