samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.6658041477203369,0.9085131883621216,0.8663194179534912,0.5408778786659241,0.6731216907501221,0.8938019871711731,0.665207028388977,0.925921618938446,0.8402777910232544,0.6445268392562866,0.6742021441459656,0.9035281538963318,0.6353503465652466,0.9880837798118591,0.9392361044883728,0.499433308839798,0.6500166058540344,0.9891261458396912
200,0.6755573153495789,0.8814823627471924,0.796875,0.597253680229187,0.6830119490623474,0.8780632615089417,0.6958598494529724,0.8828819990158081,0.80078125,0.6689183712005615,0.7118517160415649,0.8605639934539795,0.6866043210029602,0.8627772331237793,0.75390625,0.6601340770721436,0.6897439956665039,0.8587905168533325
400,0.722034215927124,0.7956376075744629,0.9151785969734192,0.3300909698009491,0.7302194237709045,0.8016008138656616,0.715863823890686,0.7985676527023315,0.9263392686843872,0.31603479385375977,0.7265625,0.7749413847923279,0.7198447585105896,0.7761049270629883,0.921875,0.28846246004104614,0.724401593208313,0.7842149138450623
600,0.7646297812461853,0.671339750289917,0.925000011920929,0.28991127014160156,0.7694481611251831,0.681462824344635,0.7286027073860168,0.7243953347206116,0.9020833969116211,0.3192807137966156,0.7419381737709045,0.7146788835525513,0.7454219460487366,0.6987613439559937,0.9223958849906921,0.28629860281944275,0.7559009194374084,0.70098876953125
800,0.7772691249847412,0.631147027015686,0.9435096383094788,0.23729881644248962,0.7833278179168701,0.6258594989776611,0.7668192386627197,0.6655296087265015,0.911057710647583,0.3410026729106903,0.7793384194374084,0.6525238752365112,0.7585589289665222,0.6930893063545227,0.9350961446762085,0.2668943703174591,0.7662068009376526,0.6929450631141663
1000,0.7817476391792297,0.6221606731414795,0.9505859613418579,0.21948425471782684,0.7874002456665039,0.6174259185791016,0.774880588054657,0.6291366815567017,0.896289050579071,0.33786889910697937,0.7835771441459656,0.6218575835227966,0.7662221193313599,0.6896421909332275,0.9326171875,0.27437299489974976,0.7779255509376526,0.6884366273880005
2000,0.8052348494529724,0.5478614568710327,0.94091796875,0.21645092964172363,0.8166555762290955,0.5136880278587341,0.8114052414894104,0.5544437170028687,0.91162109375,0.31005990505218506,0.822057843208313,0.5456835627555847,0.7881170511245728,0.599838376045227,0.95166015625,0.21656668186187744,0.8093417286872864,0.5893669724464417
4000,0.8405652642250061,0.47397035360336304,0.9471726417541504,0.21215301752090454,0.8513131737709045,0.4594883918762207,0.8479299545288086,0.45123159885406494,0.936259925365448,0.2391887605190277,0.8551362752914429,0.4389002025127411,0.8204618096351624,0.503733217716217,0.9275793433189392,0.2450793981552124,0.8339428305625916,0.4982946813106537
6000,0.853005588054657,0.4370541274547577,0.9333444237709045,0.22537466883659363,0.8602892160415649,0.41350290179252625,0.8498208522796631,0.4356530010700226,0.9582779407501221,0.16580171883106232,0.8626163601875305,0.4279685616493225,0.8436504602432251,0.4580664038658142,0.9071919322013855,0.2917025685310364,0.85546875,0.43302348256111145
8000,0.8572850227355957,0.41241562366485596,0.9474999904632568,0.19449429214000702,0.8698470592498779,0.3874751925468445,0.8547969460487366,0.4194669723510742,0.9661250114440918,0.1468823105096817,0.8671044111251831,0.4131007194519043,0.8541003465652466,0.43994423747062683,0.9275000095367432,0.23200370371341705,0.8648603558540344,0.4193367660045624
10000,0.8642516136169434,0.39884239435195923,0.9524283409118652,0.16940630972385406,0.873670220375061,0.3817533552646637,0.8646496534347534,0.39814791083335876,0.9677547812461853,0.14160877466201782,0.8686004281044006,0.3978368043899536,0.8579816818237305,0.4214109182357788,0.9283439517021179,0.23433908820152283,0.8710106611251831,0.3920661509037018
20000,0.8758956789970398,0.36644884943962097,0.9655051827430725,0.1354377567768097,0.8839760422706604,0.35465219616889954,0.8788813948631287,0.35846149921417236,0.9467352032661438,0.18167057633399963,0.8896276354789734,0.346561998128891,0.8820660710334778,0.35232406854629517,0.9233226776123047,0.2415543794631958,0.8900431990623474,0.3426656126976013
30000,0.8861464858055115,0.3346206247806549,0.9581112861633301,0.1456782966852188,0.8972739577293396,0.3193591833114624,0.884454607963562,0.3376529812812805,0.9447184205055237,0.18189121782779694,0.8948637247085571,0.33057984709739685,0.8887341022491455,0.33426326513290405,0.9412869215011597,0.1877218335866928,0.8954454660415649,0.3276473879814148
40000,0.8934116363525391,0.3158499002456665,0.9451249837875366,0.1761622428894043,0.9021775126457214,0.2945065200328827,0.8882364630699158,0.3298186659812927,0.9441750049591064,0.17988838255405426,0.8964428305625916,0.3118913471698761,0.8897293210029602,0.32385390996932983,0.9463250041007996,0.1744544506072998,0.896276593208313,0.316304475069046
48000,0.8930135369300842,0.3118845224380493,0.9490000009536743,0.16498717665672302,0.9013463854789734,0.2959877848625183,0.8931130766868591,0.3162098526954651,0.948354184627533,0.16830167174339294,0.8981881737709045,0.30771195888519287,0.8962977528572083,0.3156966269016266,0.9497500061988831,0.1639517992734909,0.8991854786872864,0.30872058868408203
