samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.6658041477203369,0.9085131883621216,0.8663194179534912,0.5408778786659241,0.6731216907501221,0.8938019871711731,0.665207028388977,0.925921618938446,0.8402777910232544,0.6445268392562866,0.6742021441459656,0.9035281538963318,0.6353503465652466,0.9880837798118591,0.9392361044883728,0.499433308839798,0.6500166058540344,0.9891261458396912
200,0.6816281676292419,0.8934276700019836,0.859375,0.46672219038009644,0.6915724873542786,0.8920282125473022,0.7038216590881348,0.8517241477966309,0.89453125,0.43977928161621094,0.7128490805625916,0.8391852974891663,0.6900875568389893,0.853889524936676,0.88671875,0.4493751525878906,0.6887466907501221,0.8531992435455322
400,0.7147691249847412,0.8224154114723206,0.8772321343421936,0.3791658878326416,0.7186669111251831,0.821588397026062,0.7351711988449097,0.7584006786346436,0.8883928656578064,0.4132448732852936,0.7463430762290955,0.7479318380355835,0.7253184914588928,0.8017340302467346,0.9285714030265808,0.2890261113643646,0.7312167286872864,0.8115501999855042
600,0.7463176846504211,0.7384842038154602,0.9104167222976685,0.36753278970718384,0.7598903179168701,0.7170051336288452,0.7664211988449097,0.7002914547920227,0.910937488079071,0.4035855829715729,0.7754321694374084,0.6919129490852356,0.7386544346809387,0.7585563659667969,0.949999988079071,0.24703533947467804,0.7401928305625916,0.7734047770500183
800,0.7679139971733093,0.6981501579284668,0.9350961446762085,0.30437299609184265,0.7739361524581909,0.6849339008331299,0.7694068551063538,0.6627210974693298,0.9074519276618958,0.39940154552459717,0.7828291058540344,0.6548871397972107,0.7597531676292419,0.6964455246925354,0.9254807829856873,0.3159661293029785,0.7635471820831299,0.6963623762130737
1000,0.7746815085411072,0.6601855158805847,0.912304699420929,0.34616369009017944,0.784740686416626,0.6349704265594482,0.7861266136169434,0.6240807175636292,0.919140636920929,0.35059887170791626,0.794714093208313,0.6182101368904114,0.7690087556838989,0.6331196427345276,0.911328136920929,0.34185725450515747,0.7766788601875305,0.6258935332298279
2000,0.8141918778419495,0.5399104952812195,0.92236328125,0.29995062947273254,0.825964093208313,0.5207324624061584,0.8098129034042358,0.5354968309402466,0.89697265625,0.36895501613616943,0.8238862752914429,0.5172877311706543,0.8018510937690735,0.5471399426460266,0.90478515625,0.34395796060562134,0.8071808218955994,0.5365290641784668
4000,0.8418591022491455,0.4682060182094574,0.913690447807312,0.2961253821849823,0.8499002456665039,0.4431302547454834,0.8410629034042358,0.4602833092212677,0.9069940447807312,0.337541401386261,0.8560505509376526,0.4452628791332245,0.8387739062309265,0.4615245759487152,0.9072420597076416,0.33015647530555725,0.846825122833252,0.4421582818031311
6000,0.8518112897872925,0.4195954203605652,0.9004321694374084,0.33255651593208313,0.8633643388748169,0.39899277687072754,0.8535031676292419,0.422608882188797,0.8987699747085571,0.34468963742256165,0.865442156791687,0.41239824891090393,0.8531050682067871,0.42493200302124023,0.9038121104240417,0.31560230255126953,0.8612034320831299,0.40516212582588196
8000,0.8641520738601685,0.4063313603401184,0.9077500104904175,0.2936519980430603,0.8717586398124695,0.37445446848869324,0.8549960255622864,0.4078648090362549,0.8806250095367432,0.3688953220844269,0.8725897669792175,0.3944189250469208,0.8617635369300842,0.3946969509124756,0.9121249914169312,0.2980785071849823,0.8735870718955994,0.3809385895729065
10000,0.8738057613372803,0.3843063414096832,0.9163017272949219,0.27735665440559387,0.8847240805625916,0.3492416739463806,0.8729100227355957,0.3924824297428131,0.8948049545288086,0.3310476839542389,0.8783244490623474,0.375296413898468,0.8706210255622864,0.3888123035430908,0.909136176109314,0.29791954159736633,0.8785737752914429,0.36341142654418945
20000,0.8849522471427917,0.3387162387371063,0.9288638234138489,0.22810140252113342,0.8938663601875305,0.3238019049167633,0.884255588054657,0.3585999310016632,0.9238218665122986,0.2406693994998932,0.890209436416626,0.34555432200431824,0.8840565085411072,0.34565526247024536,0.9234724640846252,0.24369941651821136,0.8940325975418091,0.3289705514907837
30000,0.8884354829788208,0.3334086239337921,0.9349236488342285,0.20824004709720612,0.9000997543334961,0.30664166808128357,0.8893312215805054,0.33011695742607117,0.929470956325531,0.22306551039218903,0.901013970375061,0.304355651140213,0.8934116363525391,0.32253724336624146,0.9308258295059204,0.2178940773010254,0.8956117033958435,0.3188178539276123
40000,0.8934116363525391,0.3242924213409424,0.9437999725341797,0.183062344789505,0.9007646441459656,0.29993486404418945,0.8918192386627197,0.31619441509246826,0.9417750239372253,0.18923419713974,0.8999335169792175,0.3076264262199402,0.8936106562614441,0.31641632318496704,0.9408249855041504,0.18740314245224,0.8994348645210266,0.30675211548805237
48000,0.8916202187538147,0.31329667568206787,0.950083315372467,0.16420568525791168,0.9033411145210266,0.2919626832008362,0.8925158977508545,0.32570353150367737,0.9480416774749756,0.16971103847026825,0.8996841907501221,0.29628363251686096,0.8952030539512634,0.315450519323349,0.9496041536331177,0.16330929100513458,0.901013970375061,0.30025482177734375
