samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.6653065085411072,0.9064769148826599,0.8151041269302368,0.5777224898338318,0.6500997543334961,0.9582016468048096,0.6520700454711914,0.9319406747817993,0.8402777910232544,0.5787440538406372,0.642785906791687,0.9724109172821045,0.6419187784194946,0.9975265264511108,0.8324652910232544,0.4666556119918823,0.6285737752914429,1.065433144569397
200,0.6923766136169434,0.8209678530693054,0.8125,0.6446738243103027,0.6781083941459656,0.892026960849762,0.6665008068084717,0.8772516846656799,0.796875,0.6487969160079956,0.6529255509376526,0.9461791515350342,0.6697850227355957,0.9375059008598328,0.90234375,0.5361547470092773,0.6521775126457214,1.0282187461853027
400,0.7369625568389893,0.7578928470611572,0.8772321343421936,0.46399953961372375,0.7348736524581909,0.8618947267532349,0.7271098494529724,0.8248279094696045,0.8482142686843872,0.5835016965866089,0.7208278179168701,0.8759872913360596,0.7291003465652466,0.7911258339881897,0.8571428656578064,0.45805278420448303,0.7258145213127136,0.9744128584861755
600,0.7394506335258484,0.7105936408042908,0.8645833730697632,0.47273731231689453,0.75390625,0.8066966533660889,0.7550756335258484,0.7002225518226624,0.8218749761581421,0.5504318475723267,0.7654587626457214,0.7548297047615051,0.727707028388977,0.7647449374198914,0.8359375,0.4689883589744568,0.7416056990623474,0.8834011554718018
800,0.7482085824012756,0.7069925665855408,0.8569711446762085,0.47082096338272095,0.750831127166748,0.8364228010177612,0.7615445852279663,0.7300166487693787,0.8617788553237915,0.47077304124832153,0.7815824747085571,0.7716115713119507,0.7596536874771118,0.7005757689476013,0.875,0.40076154470443726,0.7624667286872864,0.8498796224594116
1000,0.7622412443161011,0.6916492581367493,0.8541015386581421,0.47301074862480164,0.7705286145210266,0.7463163137435913,0.777667224407196,0.6878424882888794,0.874218761920929,0.4380917251110077,0.7819979786872864,0.7445346713066101,0.7699044346809387,0.6947304010391235,0.8695312738418579,0.41375064849853516,0.7800033092498779,0.7671879529953003
2000,0.8028463125228882,0.5861058235168457,0.88720703125,0.3523677587509155,0.8173204660415649,0.6391023993492126,0.8091162443161011,0.567093014717102,0.8837890625,0.3806920349597931,0.8236369490623474,0.6335797309875488,0.8103104829788208,0.5959991812705994,0.8876953125,0.3469250202178955,0.8149102330207825,0.6714803576469421
4000,0.8396695852279663,0.4588443338871002,0.8864087462425232,0.33794209361076355,0.8591256737709045,0.47084370255470276,0.8355891704559326,0.47705110907554626,0.873759925365448,0.37003830075263977,0.8514794111251831,0.5016176104545593,0.8396695852279663,0.4639889597892761,0.8864087462425232,0.34745243191719055,0.8531416058540344,0.5084550380706787
6000,0.8550955653190613,0.4283967614173889,0.8737810254096985,0.35648858547210693,0.8692653179168701,0.43070822954177856,0.8507165312767029,0.42734190821647644,0.860704779624939,0.3900643289089203,0.8699302077293396,0.4300801753997803,0.8536027073860168,0.41833335161209106,0.8679631948471069,0.37274816632270813,0.8695146441459656,0.4262900948524475
8000,0.865545392036438,0.42387357354164124,0.8653749823570251,0.3774145245552063,0.8755818009376526,0.3929150700569153,0.8586783409118652,0.3963466286659241,0.8503749966621399,0.4146524965763092,0.8738364577293396,0.3954117000102997,0.859574019908905,0.4060460925102234,0.8721250295639038,0.3664471209049225,0.8764129281044006,0.4119594395160675
10000,0.8742038011550903,0.40829214453697205,0.8652468323707581,0.364524781703949,0.8859707713127136,0.3808964788913727,0.8715167045593262,0.3911129832267761,0.8535031676292419,0.3902914524078369,0.8779088854789734,0.3887045979499817,0.8654458522796631,0.39933934807777405,0.8640525341033936,0.3701944649219513,0.8809840679168701,0.3872878849506378
20000,0.887340784072876,0.344136118888855,0.8914237022399902,0.2900412678718567,0.8986868262290955,0.32377830147743225,0.887738823890686,0.34201914072036743,0.8910243511199951,0.2901248335838318,0.896692156791687,0.3360998332500458,0.8893312215805054,0.34288927912712097,0.8962160348892212,0.2762907147407532,0.8915392160415649,0.34449490904808044
30000,0.8909235596656799,0.32745489478111267,0.9286936521530151,0.19856098294258118,0.8982712626457214,0.3171108365058899,0.8919187784194946,0.321503221988678,0.9212197661399841,0.21231698989868164,0.896692156791687,0.3240756392478943,0.8919187784194946,0.3255046606063843,0.9210864901542664,0.21269847452640533,0.89453125,0.3328179121017456
40000,0.8926154375076294,0.31829580664634705,0.942425012588501,0.15851670503616333,0.899767279624939,0.31152036786079407,0.8896297812461853,0.3164694011211395,0.9421499967575073,0.16507400572299957,0.8990193009376526,0.3183566629886627,0.8926154375076294,0.3230297863483429,0.9417750239372253,0.1601841300725937,0.8974401354789734,0.33193501830101013
48000,0.8917197585105896,0.3183457553386688,0.9510416388511658,0.1338607221841812,0.9017619490623474,0.3089423179626465,0.8902269005775452,0.32484376430511475,0.949958324432373,0.1389002650976181,0.8971908092498779,0.31842029094696045,0.893511176109314,0.3241926431655884,0.9512916803359985,0.13356898725032806,0.8940325975418091,0.32452699542045593
