samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.6620222926139832,0.9097386002540588,0.8368055820465088,0.5476976633071899,0.6695478558540344,0.8983308672904968,0.6696854829788208,0.9182469248771667,0.796875,0.5690261125564575,0.6758643388748169,0.8991629481315613,0.6422173380851746,0.9934197664260864,0.8307291269302368,0.5543357133865356,0.650182843208313,0.9922792315483093
200,0.696755588054657,0.8453572988510132,0.8125,0.5328902006149292,0.6988862752914429,0.8351483345031738,0.7019307613372803,0.812186598777771,0.828125,0.5430753231048584,0.706200122833252,0.8009851574897766,0.7042197585105896,0.8013203144073486,0.8828125,0.40668535232543945,0.7110205888748169,0.79731285572052
400,0.7523885369300842,0.6974449753761292,0.8973214030265808,0.3306424021720886,0.7578955888748169,0.6874932050704956,0.7545780539512634,0.6802347898483276,0.890625,0.3418433964252472,0.770362377166748,0.6606462597846985,0.7659235596656799,0.6549465656280518,0.9174107313156128,0.32379627227783203,0.7700299024581909,0.6429672837257385
600,0.7713972926139832,0.6804743409156799,0.8958333730697632,0.2681047022342682,0.783410906791687,0.6435386538505554,0.784534215927124,0.6426863670349121,0.9260417222976685,0.2742307484149933,0.7908909320831299,0.6211721301078796,0.7906050682067871,0.6093086004257202,0.8942708969116211,0.3234156370162964,0.7924700975418091,0.5950368642807007
800,0.7927945852279663,0.6436463594436646,0.9302884340286255,0.22797791659832,0.8056848645210266,0.6031689643859863,0.8003582954406738,0.5912684202194214,0.9399038553237915,0.23517252504825592,0.8088430762290955,0.5695762038230896,0.797074019908905,0.5856397151947021,0.9158653616905212,0.2616387605667114,0.8063497543334961,0.5715305805206299
1000,0.7934912443161011,0.5994240641593933,0.9224609136581421,0.21884538233280182,0.8157413601875305,0.5728918313980103,0.8003582954406738,0.5823917984962463,0.9326171875,0.23458771407604218,0.8098404407501221,0.5633881092071533,0.7998606562614441,0.5822528600692749,0.9322265386581421,0.21738041937351227,0.8154920339584351,0.5633347630500793
2000,0.8175756335258484,0.5384430289268494,0.9404296875,0.17388692498207092,0.835106372833252,0.5221690535545349,0.8221536874771118,0.5281767249107361,0.93798828125,0.19022879004478455,0.8318650126457214,0.5148569345474243,0.8256369233131409,0.5311933159828186,0.9384765625,0.1890912652015686,0.8343583941459656,0.5135509371757507
4000,0.8405652642250061,0.4688911736011505,0.9464285969734192,0.15575717389583588,0.8523104786872864,0.4628731310367584,0.8364848494529724,0.4674924612045288,0.9357638955116272,0.1921977698802948,0.8491522669792175,0.4570862054824829,0.8447452187538147,0.4789131283760071,0.9439483880996704,0.1658550649881363,0.8536403179168701,0.46526187658309937
6000,0.8402667045593262,0.45472514629364014,0.948249101638794,0.14835801720619202,0.8614528179168701,0.43309536576271057,0.8542993664741516,0.4477516710758209,0.9440935254096985,0.16180947422981262,0.8606216907501221,0.42920300364494324,0.8528065085411072,0.4420919120311737,0.9478613138198853,0.15689073503017426,0.8614528179168701,0.43175122141838074
8000,0.8479299545288086,0.43854770064353943,0.9436249732971191,0.15176525712013245,0.8701795339584351,0.3955870568752289,0.8641520738601685,0.41606199741363525,0.9518749713897705,0.14514413475990295,0.8718417286872864,0.405710905790329,0.8520103693008423,0.4350939691066742,0.9452499747276306,0.16021929681301117,0.8645279407501221,0.42715153098106384
10000,0.8603702187538147,0.4086402356624603,0.949542224407196,0.1425488442182541,0.8766622543334961,0.39034369587898254,0.8681329488754272,0.41009214520454407,0.9504379034042358,0.14147381484508514,0.8751662373542786,0.39314964413642883,0.8581807613372803,0.41059157252311707,0.9459593892097473,0.15734270215034485,0.869763970375061,0.40164095163345337
20000,0.8769904375076294,0.37157487869262695,0.9529253244400024,0.1279371827840805,0.893700122833252,0.34361252188682556,0.8799760937690735,0.3745414912700653,0.9541733264923096,0.13175103068351746,0.888879656791687,0.3547840118408203,0.8801751732826233,0.3683348596096039,0.9538738131523132,0.1321098357439041,0.8883810043334961,0.36481204628944397
30000,0.8860469460487366,0.34762606024742126,0.9532249569892883,0.12936092913150787,0.8975232839584351,0.32636749744415283,0.8869426846504211,0.34491756558418274,0.9516591429710388,0.13347123563289642,0.893201470375061,0.3298291862010956,0.8866441249847412,0.34520789980888367,0.9527362585067749,0.13231432437896729,0.8907912373542786,0.3408912420272827
40000,0.8886345624923706,0.32868456840515137,0.9523249864578247,0.13058172166347504,0.9012632966041565,0.3098079264163971,0.8893312215805054,0.33614224195480347,0.9509249925613403,0.13617703318595886,0.8946143388748169,0.32128769159317017,0.890425980091095,0.32947835326194763,0.95169997215271,0.13421232998371124,0.8960272669792175,0.3172633647918701
48000,0.8927149772644043,0.3120720088481903,0.9520833492279053,0.133799210190773,0.902759313583374,0.2997680604457855,0.8927149772644043,0.3235781490802765,0.9512708187103271,0.13516779243946075,0.901512622833252,0.3025763928890228,0.893511176109314,0.32180434465408325,0.9514374732971191,0.13145917654037476,0.8974401354789734,0.3066466450691223
