samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.6621218323707581,0.9092633724212646,0.8368055820465088,0.5480356812477112,0.6693816781044006,0.8978013396263123,0.6696854829788208,0.9182469248771667,0.796875,0.5690261125564575,0.6758643388748169,0.8991629481315613,0.6422173380851746,0.9934197664260864,0.8307291269302368,0.5543357133865356,0.650182843208313,0.9922792315483093
200,0.7056130766868591,0.82183837890625,0.8046875,0.7197692394256592,0.7157579660415649,0.814353346824646,0.6838176846504211,0.9081972241401672,0.75390625,0.7449865341186523,0.7007978558540344,0.8802192211151123,0.6802348494529724,0.8880198001861572,0.8046875,0.60294109582901,0.6887466907501221,0.8870928883552551
400,0.715465784072876,0.805603563785553,0.8415178656578064,0.47487449645996094,0.7306349873542786,0.816429615020752,0.6940684914588928,0.8711313605308533,0.8102678656578064,0.6009631752967834,0.734375,0.925710141658783,0.721636176109314,0.7871702909469604,0.8571428656578064,0.43966057896614075,0.7509142160415649,0.839699923992157
600,0.7329816818237305,0.7586840987205505,0.8890625238418579,0.4202331006526947,0.7449302077293396,0.7582031488418579,0.740744411945343,0.7707749605178833,0.862500011920929,0.49251967668533325,0.7696143388748169,0.7909764051437378,0.7607483863830566,0.7158204317092896,0.859375,0.4455786347389221,0.7715259194374084,0.7428120374679565
800,0.7597531676292419,0.7052456140518188,0.859375,0.5092005133628845,0.7598903179168701,0.6956098079681396,0.7697054147720337,0.6988526582717896,0.8461538553237915,0.47285133600234985,0.7795877456665039,0.7468268275260925,0.7584593892097473,0.68975430727005,0.879807710647583,0.4293341338634491,0.7798370718955994,0.7496647834777832
1000,0.7777667045593262,0.6797476410865784,0.8755859136581421,0.4405164122581482,0.7869846820831299,0.6438495516777039,0.7614450454711914,0.6804111003875732,0.865429699420929,0.4408775269985199,0.7903091907501221,0.731840968132019,0.7621417045593262,0.6965717673301697,0.8521484136581421,0.4581851661205292,0.7854055762290955,0.7418310046195984
2000,0.8184713125228882,0.5580816864967346,0.88818359375,0.38049444556236267,0.8313663601875305,0.5611903667449951,0.8095143437385559,0.5797388553619385,0.90283203125,0.32179686427116394,0.8272107839584351,0.6644248366355896,0.8012539744377136,0.6246849894523621,0.89013671875,0.3444942831993103,0.8106715679168701,0.6555849313735962
4000,0.843550980091095,0.4711291491985321,0.8921130895614624,0.35178136825561523,0.8606216907501221,0.4582320749759674,0.8352906107902527,0.4917115569114685,0.8836805820465088,0.3312588036060333,0.851146936416626,0.5336950421333313,0.8383758068084717,0.48056238889694214,0.8876488208770752,0.33389052748680115,0.8539727330207825,0.48629942536354065
6000,0.8561902642250061,0.42487195134162903,0.8623670339584351,0.37546950578689575,0.8757479786872864,0.40352576971054077,0.846835196018219,0.4435129463672638,0.872063398361206,0.3745146095752716,0.8659408092498779,0.4675428569316864,0.8507165312767029,0.4222283959388733,0.8748891949653625,0.3496338427066803,0.8661901354789734,0.41983869671821594
8000,0.8621616363525391,0.4075199365615845,0.8617500066757202,0.38486969470977783,0.8781582713127136,0.3973318338394165,0.8599721193313599,0.4245111346244812,0.8813750147819519,0.33488717675209045,0.8744181990623474,0.4341665506362915,0.859574019908905,0.41225072741508484,0.8643749952316284,0.36999329924583435,0.8790724873542786,0.38580122590065
10000,0.865545392036438,0.3847718834877014,0.8526074886322021,0.3931402266025543,0.8862200975418091,0.3695191740989685,0.8738057613372803,0.40688061714172363,0.8670381903648376,0.3600037395954132,0.8834773898124695,0.39246055483818054,0.8737062215805054,0.3835562467575073,0.8639530539512634,0.3631712794303894,0.8842254281044006,0.364397257566452
20000,0.8847531676292419,0.3529536724090576,0.8946685194969177,0.27949610352516174,0.896692156791687,0.3248392343521118,0.8871417045593262,0.3532902002334595,0.8899261355400085,0.2934354245662689,0.8943650126457214,0.3257788419723511,0.8857483863830566,0.34366655349731445,0.8929213285446167,0.28290852904319763,0.896276593208313,0.3245104253292084
30000,0.890425980091095,0.3291647434234619,0.9224746823310852,0.21010735630989075,0.9011802077293396,0.3014484941959381,0.8916202187538147,0.32157549262046814,0.9238295555114746,0.20759207010269165,0.9016788601875305,0.31318479776382446,0.8920183181762695,0.31980958580970764,0.9198760390281677,0.21666747331619263,0.8970245718955994,0.31930020451545715
40000,0.8915206789970398,0.31915560364723206,0.94097501039505,0.16358743607997894,0.9017619490623474,0.29894906282424927,0.8921178579330444,0.31574738025665283,0.9412999749183655,0.16500432789325714,0.9014295339584351,0.30404841899871826,0.8922173380851746,0.316339910030365,0.9398999810218811,0.16158849000930786,0.8987699747085571,0.3126719892024994
48000,0.8913216590881348,0.3177233040332794,0.9505624771118164,0.13459999859333038,0.9011802077293396,0.29521045088768005,0.8926154375076294,0.31680792570114136,0.9502500295639038,0.1361851692199707,0.9015957713127136,0.2984652519226074,0.8932125568389893,0.31807827949523926,0.9515833258628845,0.13164351880550385,0.8986037373542786,0.31040889024734497
