samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.7647293210029602,0.7561160326004028,0.984375,0.29550909996032715,0.7540724873542786,0.7753341197967529,0.7626393437385559,0.8271259069442749,0.9470486044883728,0.3925657868385315,0.7480053305625916,0.8559684753417969,0.7273089289665222,0.8827868700027466,0.9644097089767456,0.3695674240589142,0.7282247543334961,0.8938423991203308
200,0.765625,0.7758275270462036,0.9375,0.3287399411201477,0.7519946694374084,0.8091403245925903,0.7647293210029602,0.7651705741882324,0.96875,0.31363579630851746,0.758228063583374,0.7824148535728455,0.7579618096351624,0.7362880110740662,0.9140625,0.35753393173217773,0.7445977330207825,0.7608932256698608
400,0.7994625568389893,0.6770606637001038,0.984375,0.14266037940979004,0.7871509194374084,0.7171751856803894,0.8144904375076294,0.5818297863006592,0.9821428656578064,0.15020108222961426,0.8018617033958435,0.6200684309005737,0.8108081221580505,0.5773869156837463,0.9910714030265808,0.16327200829982758,0.806848406791687,0.5926916003227234
600,0.8545979261398315,0.49895554780960083,0.994270920753479,0.12029428780078888,0.840259313583374,0.5713980197906494,0.843550980091095,0.5013555288314819,0.984375,0.12935030460357666,0.8276263475418091,0.5625041127204895,0.8458399772644043,0.47000589966773987,0.9828125238418579,0.13547338545322418,0.8496509194374084,0.4865732491016388
800,0.8687300682067871,0.4605361521244049,0.9903846383094788,0.11509764194488525,0.862450122833252,0.4928019642829895,0.8579816818237305,0.4561723470687866,0.984375,0.1356232613325119,0.8505651354789734,0.5063720941543579,0.8559912443161011,0.4705757200717926,0.9915865659713745,0.12903378903865814,0.858959436416626,0.4810694754123688
1000,0.8700239062309265,0.4415111243724823,0.9876953363418579,0.12141716480255127,0.8748337626457214,0.4505569636821747,0.8699243664741516,0.42607223987579346,0.989062488079071,0.12454763054847717,0.8640292286872864,0.48133715987205505,0.8823646306991577,0.4050604999065399,0.9931640625,0.11457547545433044,0.8809840679168701,0.41204679012298584
2000,0.9021695852279663,0.3273860812187195,0.99755859375,0.07102253288030624,0.9064993262290955,0.33619892597198486,0.8992834687232971,0.35390543937683105,0.9951171875,0.07375471293926239,0.8941987752914429,0.3925434947013855,0.9307324886322021,0.2592155635356903,0.9912109375,0.10032839328050613,0.9295212626457214,0.2508593201637268
4000,0.9334195852279663,0.23274315893650055,0.9980158805847168,0.058500535786151886,0.9415724873542786,0.2347985953092575,0.9202826619148254,0.27672508358955383,0.997519850730896,0.04996177554130554,0.921875,0.3117918074131012,0.9541202187538147,0.1572655886411667,0.99379962682724,0.07859615981578827,0.9569481611251831,0.1599522829055786
6000,0.9421775341033936,0.1999150961637497,0.9990026354789734,0.04046294093132019,0.9488862752914429,0.2132183462381363,0.9273487329483032,0.25384947657585144,0.9990026354789734,0.03665373474359512,0.9317653179168701,0.2917408347129822,0.9629777073860168,0.12173667550086975,0.9961768388748169,0.06672970950603485,0.9653424024581909,0.13113640248775482
8000,0.9479498267173767,0.18282972276210785,0.9993749856948853,0.03564943000674248,0.9510471820831299,0.2063167691230774,0.9413813948631287,0.2062399983406067,0.9986249804496765,0.034813638776540756,0.9406582713127136,0.2408871352672577,0.9639729261398315,0.1275118738412857,0.9982500076293945,0.0486450269818306,0.9654255509376526,0.12831321358680725
10000,0.9629777073860168,0.14710575342178345,0.9993033409118652,0.0339847058057785,0.9616854786872864,0.17244848608970642,0.9517316818237305,0.1920706033706665,0.9995023608207703,0.031072847545146942,0.9494680762290955,0.22013090550899506,0.9661624431610107,0.11084285378456116,0.9977110028266907,0.045259084552526474,0.9697473645210266,0.11550979316234589
20000,0.9733280539512634,0.08519980311393738,0.9994009733200073,0.03541334718465805,0.9759806990623474,0.10363853722810745,0.9760151505470276,0.09874335676431656,0.9998003244400024,0.03636864572763443,0.971326470375061,0.11694705486297607,0.9769108295440674,0.08046164363622665,0.9987020492553711,0.04105861485004425,0.9810505509376526,0.08089075982570648
30000,0.9827826619148254,0.07399154454469681,0.9996668696403503,0.03484506160020828,0.9789727330207825,0.08974773436784744,0.9745222926139832,0.0868045836687088,0.9993003606796265,0.03711659088730812,0.9758145213127136,0.10085836052894592,0.9809912443161011,0.0732952132821083,0.9991337656974792,0.03667270764708519,0.982629656791687,0.07444160431623459
40000,0.9790008068084717,0.07066315412521362,0.9991000294685364,0.03672567754983902,0.9805518388748169,0.08679075539112091,0.9755175113677979,0.07715929299592972,0.9992750287055969,0.03703075274825096,0.978723406791687,0.08926582336425781,0.9833797812461853,0.06515385955572128,0.999625027179718,0.035605352371931076,0.9818816781044006,0.07868531346321106
48000,0.9839769005775452,0.05949465185403824,0.9994791746139526,0.034810103476047516,0.982629656791687,0.07252936065196991,0.9823845624923706,0.06698928028345108,0.9995833039283752,0.03500392287969589,0.9780585169792175,0.08136101067066193,0.9829816818237305,0.06453369557857513,0.9995416402816772,0.035041339695453644,0.984375,0.066767118871212
