samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.7647293210029602,0.7561160326004028,0.984375,0.29550909996032715,0.7540724873542786,0.7753341197967529,0.7626393437385559,0.8271259069442749,0.9470486044883728,0.3925657868385315,0.7480053305625916,0.8559684753417969,0.7273089289665222,0.8827868700027466,0.9644097089767456,0.3695674240589142,0.7282247543334961,0.8938423991203308
200,0.7769705653190613,0.7401476502418518,0.9765625,0.27393949031829834,0.7741854786872864,0.7454980611801147,0.7714968323707581,0.7665179371833801,0.98046875,0.25485581159591675,0.7597240805625916,0.8023080229759216,0.7443272471427917,0.7948267459869385,0.94140625,0.26287928223609924,0.7460106611251831,0.8183878660202026
400,0.8036425113677979,0.64280766248703,0.9799107313156128,0.15806832909584045,0.7950465679168701,0.6803340315818787,0.8102110028266907,0.6373329758644104,0.9866071343421936,0.13148142397403717,0.7917220592498779,0.7031014561653137,0.8081210255622864,0.6493760347366333,0.9799107313156128,0.12656022608280182,0.8031914830207825,0.6707136034965515
600,0.8232483863830566,0.5675114393234253,0.978645920753479,0.1516956090927124,0.8101728558540344,0.6143547892570496,0.8411624431610107,0.5285927057266235,0.9937499761581421,0.10354721546173096,0.8278756737709045,0.6069860458374023,0.8326035141944885,0.5570666790008545,0.9781249761581421,0.1256146878004074,0.8269614577293396,0.6002518534660339
800,0.8458399772644043,0.514725923538208,0.9855769276618958,0.1314687728881836,0.8391788601875305,0.5281761884689331,0.856289803981781,0.49053648114204407,0.9975961446762085,0.07525517046451569,0.8461602330207825,0.5635590553283691,0.8594745397567749,0.46761250495910645,0.989182710647583,0.11411607265472412,0.8516455888748169,0.5015869140625
1000,0.8771895170211792,0.418788343667984,0.9867187738418579,0.13077883422374725,0.8743351101875305,0.4271105229854584,0.8794785141944885,0.4073828160762787,0.994140625,0.08760029077529907,0.8733377456665039,0.4816158413887024,0.8810708522796631,0.4049484431743622,0.9847656488418579,0.12834733724594116,0.8800697922706604,0.4325970709323883
2000,0.922074019908905,0.2510596215724945,0.99072265625,0.09804003685712814,0.9185505509376526,0.275947242975235,0.899880588054657,0.35147735476493835,0.9970703125,0.06145888939499855,0.8954454660415649,0.43027326464653015,0.9139131903648376,0.2904031276702881,0.99560546875,0.08711972832679749,0.9138962626457214,0.3008318245410919
4000,0.9588972926139832,0.13516470789909363,0.9952877163887024,0.07202593982219696,0.956200122833252,0.152879536151886,0.946954607963562,0.17918415367603302,0.9972718358039856,0.06460027396678925,0.9440658092498779,0.20869994163513184,0.931130588054657,0.2334499955177307,0.998759925365448,0.0461772121489048,0.9384142160415649,0.2364925593137741
6000,0.9645700454711914,0.11038325726985931,0.995678186416626,0.07012572139501572,0.967918872833252,0.12017422169446945,0.9557125568389893,0.15353474020957947,0.9984485507011414,0.05222674459218979,0.9532912373542786,0.18078112602233887,0.9444665312767029,0.20200824737548828,0.998670220375061,0.042427707463502884,0.9507147669792175,0.19990316033363342
8000,0.9695461988449097,0.10186699777841568,0.9987499713897705,0.051194556057453156,0.9694148898124695,0.11533369868993759,0.9633758068084717,0.11730806529521942,0.9983749985694885,0.049496766179800034,0.9612699747085571,0.1446198970079422,0.9514331221580505,0.16031309962272644,0.999625027179718,0.039279937744140625,0.958776593208313,0.16723036766052246
10000,0.9702428579330444,0.10208970308303833,0.9989052414894104,0.0429748110473156,0.9705784320831299,0.11427884548902512,0.9676552414894104,0.11485893279314041,0.9992038011550903,0.04108525440096855,0.9635970592498779,0.14669197797775269,0.9530254602432251,0.1505066156387329,0.9991043210029602,0.03683829307556152,0.9621841907501221,0.15804238617420197
20000,0.9726313948631287,0.09235264360904694,0.9993011355400085,0.037260543555021286,0.9767287373542786,0.10178153216838837,0.9772093892097473,0.08793923258781433,0.9992511868476868,0.03703988716006279,0.9744846820831299,0.10938481986522675,0.9756170511245728,0.08947821706533432,0.9994508624076843,0.03526657819747925,0.9767287373542786,0.10324427485466003
30000,0.9815883636474609,0.06836554408073425,0.9997001886367798,0.03542372211813927,0.9795545339584351,0.08494564890861511,0.9774084687232971,0.07385218143463135,0.9995002746582031,0.036254845559597015,0.975232720375061,0.10159769654273987,0.9802945852279663,0.0773150622844696,0.9996335506439209,0.035974014550447464,0.9816322922706604,0.08043915778398514
40000,0.9823845624923706,0.0674695149064064,0.9995750188827515,0.03532996028661728,0.9803025126457214,0.07912865281105042,0.9823845624923706,0.07337700575590134,0.999625027179718,0.03468864783644676,0.9782247543334961,0.08182931691408157,0.9819864630699158,0.06647880375385284,0.9993500113487244,0.035547468811273575,0.983045220375061,0.07259806245565414
48000,0.981488823890686,0.06701821833848953,0.9996458292007446,0.03472920134663582,0.9807180762290955,0.07718316465616226,0.9817874431610107,0.06689884513616562,0.9996874928474426,0.03515911474823952,0.978723406791687,0.08240772783756256,0.9816879034042358,0.06663182377815247,0.9995208382606506,0.035036828368902206,0.982629656791687,0.07138262689113617
