samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.7647293210029602,0.7561160326004028,0.984375,0.29550909996032715,0.7540724873542786,0.7753341197967529,0.7626393437385559,0.8271259069442749,0.9470486044883728,0.3925657868385315,0.7480053305625916,0.8559685349464417,0.7273089289665222,0.8827868700027466,0.9644097089767456,0.3695673942565918,0.7282247543334961,0.893842339515686
200,0.765625,0.7754704356193542,0.9375,0.3288087248802185,0.7519946694374084,0.8089655041694641,0.7647293210029602,0.7651705145835876,0.96875,0.3136357367038727,0.758228063583374,0.7824147939682007,0.7579618096351624,0.7362880110740662,0.9140625,0.35753390192985535,0.7445977330207825,0.7608931660652161
400,0.7909036874771118,0.7157695889472961,0.9866071343421936,0.12359688431024551,0.7839927077293396,0.7413145899772644,0.7954816818237305,0.6500574946403503,0.9933035969734192,0.1108853667974472,0.789478063583374,0.6716378927230835,0.8177746534347534,0.5687370300292969,0.9888392686843872,0.14785167574882507,0.8115857839584351,0.5961435437202454
600,0.8409633636474609,0.5235968828201294,0.9906250238418579,0.11776383966207504,0.8257147669792175,0.5758842825889587,0.8505175113677979,0.504896342754364,0.9817708730697632,0.12433512508869171,0.8378490805625916,0.5660731792449951,0.8568869233131409,0.4880865812301636,0.987500011920929,0.1261403113603592,0.8410904407501221,0.5365540385246277
800,0.8508160710334778,0.5141070485115051,0.9927884340286255,0.11015097796916962,0.845495343208313,0.5455195307731628,0.8694267272949219,0.42840635776519775,0.9867788553237915,0.12590518593788147,0.8616189956665039,0.4762164056301117,0.8846536874771118,0.40198564529418945,0.9927884340286255,0.1175798699259758,0.8808178305625916,0.4198700189590454
1000,0.859375,0.44878295063972473,0.9921875,0.11985409259796143,0.8614528179168701,0.4632517099380493,0.8926154375076294,0.36000868678092957,0.988085925579071,0.12110287696123123,0.883643627166748,0.4047943949699402,0.8944068551063538,0.3581867218017578,0.9892578125,0.12305622547864914,0.8909574747085571,0.3773341774940491
2000,0.9210788011550903,0.25159409642219543,0.99365234375,0.10348668694496155,0.9232879281044006,0.2528965473175049,0.9261544346809387,0.2510907053947449,0.990234375,0.10888801515102386,0.9247838854789734,0.2777568995952606,0.9326233863830566,0.2337997555732727,0.99169921875,0.10593223571777344,0.9287732839584351,0.24155357480049133
4000,0.9616839289665222,0.12726294994354248,0.996279776096344,0.07854794710874557,0.9595245718955994,0.1446164846420288,0.9618829488754272,0.13189077377319336,0.9933035969734192,0.08054482191801071,0.9564494490623474,0.1587940901517868,0.9610868096351624,0.13709194958209991,0.9952877163887024,0.08451490104198456,0.9589428305625916,0.14084893465042114
6000,0.9709395170211792,0.09807872027158737,0.9955119490623474,0.07176811993122101,0.96875,0.1134382039308548,0.9709395170211792,0.11143425852060318,0.9955119490623474,0.07053402811288834,0.9655086398124695,0.12526631355285645,0.9708399772644043,0.09715577214956284,0.995124101638794,0.07497978955507278,0.9724900126457214,0.1007039025425911
8000,0.9700437784194946,0.09324444085359573,0.9977499842643738,0.05299393832683563,0.9705784320831299,0.10949032008647919,0.9742237329483032,0.08847043663263321,0.996874988079071,0.06325158476829529,0.96875,0.11101552098989487,0.9758160710334778,0.08700766414403915,0.9965000152587891,0.06672915816307068,0.9753989577293396,0.09018797427415848
10000,0.9704418778419495,0.09564065933227539,0.9993033409118652,0.041351836174726486,0.9703291058540344,0.11796330660581589,0.9729299545288086,0.0893174260854721,0.9968152642250061,0.05759035050868988,0.9701629281044006,0.11278531700372696,0.9756170511245728,0.08976984769105911,0.996914803981781,0.05978989973664284,0.9786403179168701,0.08175230771303177
20000,0.9791003465652466,0.08277087658643723,0.9995008111000061,0.036339111626148224,0.9759806990623474,0.09975410997867584,0.9758160710334778,0.0805981233716011,0.9985523223876953,0.04178347438573837,0.9759806990623474,0.09937486052513123,0.980792224407196,0.074562206864357,0.9989516735076904,0.04508240148425102,0.9818816781044006,0.08044219017028809
30000,0.9823845624923706,0.06764058768749237,0.9996002316474915,0.035417839884757996,0.980884313583374,0.08445639908313751,0.9795979261398315,0.07906946539878845,0.9991670846939087,0.0364484079182148,0.9775598645210266,0.09426022320985794,0.9764131903648376,0.07517342269420624,0.9990338683128357,0.03859659284353256,0.9816322922706604,0.08100005984306335
40000,0.9837778806686401,0.0610467903316021,0.9993500113487244,0.0359698049724102,0.980053186416626,0.08098595589399338,0.9821854829788208,0.07091420143842697,0.9995750188827515,0.035710375756025314,0.978307843208313,0.08610795438289642,0.9785031676292419,0.07441193610429764,0.9994249939918518,0.03705429658293724,0.9821310043334961,0.0777895450592041
48000,0.9789012670516968,0.0705144852399826,0.9990833401679993,0.03637610748410225,0.9801362752914429,0.08093667775392532,0.9826831221580505,0.06648950278759003,0.9996458292007446,0.03478698804974556,0.9785571694374084,0.08380056172609329,0.9824841022491455,0.06522185355424881,0.9993958473205566,0.03523916006088257,0.982214093208313,0.06898472458124161
