samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.753284215927124,1.091248869895935,0.9331597089767456,0.06931658089160919,0.7421875,1.1113632917404175,0.7497014403343201,1.3383281230926514,0.8602430820465088,0.07182963192462921,0.730884313583374,1.3590525388717651,0.7112858295440674,1.316534399986267,0.8758680820465088,0.07052015513181686,0.7125997543334961,1.3284839391708374
200,0.7150676846504211,0.994392454624176,0.84375,0.059113048017024994,0.708361029624939,1.012302279472351,0.7118829488754272,1.0432649850845337,0.89453125,0.05738621950149536,0.7019614577293396,1.0677320957183838,0.7413415312767029,1.0049716234207153,0.86328125,0.060701288282871246,0.7316322922706604,1.0335896015167236
400,0.7865246534347534,0.6990772485733032,0.9285714030265808,0.04376191273331642,0.7860704660415649,0.7014771103858948,0.7805533409118652,0.7019602060317993,0.9508928656578064,0.04364898055791855,0.7706947922706604,0.7395390272140503,0.7626393437385559,0.724653422832489,0.9151785969734192,0.045559681951999664,0.7563164830207825,0.7485905289649963
600,0.8244426846504211,0.5722754001617432,0.9197916984558105,0.039371222257614136,0.8139129281044006,0.5871860384941101,0.8240445852279663,0.56516432762146,0.9234374761581421,0.04092012718319893,0.8159075975418091,0.602564811706543,0.8294187784194946,0.5540223121643066,0.92083340883255,0.04115977883338928,0.8225564956665039,0.5820524096488953
800,0.8596735596656799,0.47795867919921875,0.911057710647583,0.03887409716844559,0.852393627166748,0.4892805814743042,0.8654458522796631,0.46052438020706177,0.90625,0.04105713590979576,0.8508976101875305,0.4928894340991974,0.8486266136169434,0.5025466084480286,0.9074519276618958,0.04166536033153534,0.8421708941459656,0.5242407321929932
1000,0.8734076619148254,0.42578980326652527,0.8951171636581421,0.038955576717853546,0.8686004281044006,0.43431684374809265,0.881170392036438,0.4096267521381378,0.8990234136581421,0.04065245762467384,0.865857720375061,0.44851890206336975,0.8824641704559326,0.41431257128715515,0.8994140625,0.03956705704331398,0.876329779624939,0.43430763483047485
2000,0.924761176109314,0.28603750467300415,0.87841796875,0.0398506335914135,0.9182180762290955,0.30169910192489624,0.9233678579330444,0.295614629983902,0.873046875,0.04109698906540871,0.916223406791687,0.3163245916366577,0.9245620965957642,0.2888675332069397,0.8779296875,0.04002450034022331,0.922290563583374,0.29962414503097534
4000,0.9555135369300842,0.19682654738426208,0.8792162537574768,0.040711961686611176,0.9485538601875305,0.20999550819396973,0.9477508068084717,0.21193961799144745,0.870039701461792,0.04111502692103386,0.9424867033958435,0.23304682970046997,0.9516321420669556,0.20058244466781616,0.8720238208770752,0.04008696973323822,0.9473903179168701,0.21180513501167297
6000,0.9604896306991577,0.1823066920042038,0.8689604997634888,0.040543083101511,0.9569481611251831,0.19236645102500916,0.9603901505470276,0.18002375960350037,0.8722296357154846,0.040124379098415375,0.950548529624939,0.2022828906774521,0.9587977528572083,0.18200762569904327,0.8639184832572937,0.0399380587041378,0.9580286145210266,0.18876564502716064
8000,0.9635748267173767,0.16971562802791595,0.875,0.039462748914957047,0.9609375,0.17904289066791534,0.9629777073860168,0.17139612138271332,0.8771250247955322,0.03943151608109474,0.9547872543334961,0.19407927989959717,0.9601910710334778,0.17743739485740662,0.8703749775886536,0.03962850570678711,0.9609375,0.1833273023366928
10000,0.9614848494529724,0.17368294298648834,0.8869426846504211,0.03839557617902756,0.9586103558540344,0.18567539751529694,0.9608877301216125,0.17530600726604462,0.8798766136169434,0.03901584446430206,0.955285906791687,0.19748835265636444,0.9642714858055115,0.16681861877441406,0.8771895170211792,0.039050981402397156,0.9638463854789734,0.1745113581418991
20000,0.9581010937690735,0.18806736171245575,0.9083965420722961,0.03439691662788391,0.953956127166748,0.19972676038742065,0.9612858295440674,0.1753414273262024,0.904552698135376,0.03505012020468712,0.9510471820831299,0.198513925075531,0.9611862897872925,0.1713750958442688,0.904502809047699,0.03610723093152046,0.961768627166748,0.17979763448238373
30000,0.9549164175987244,0.1920713484287262,0.921875,0.03405344858765602,0.9515458941459656,0.20464085042476654,0.9571058750152588,0.17999301850795746,0.9198650121688843,0.03435215353965759,0.9501329660415649,0.20363745093345642,0.9559116363525391,0.1858479082584381,0.9191986918449402,0.035079438239336014,0.95703125,0.19531947374343872
40000,0.9543192386627197,0.18828801810741425,0.9305999875068665,0.03277093544602394,0.9501329660415649,0.200539693236351,0.9538216590881348,0.19045892357826233,0.9304749965667725,0.032667409628629684,0.9463098645210266,0.2158280611038208,0.953125,0.19262027740478516,0.9305499792098999,0.03324151039123535,0.9524601101875305,0.20037567615509033
48000,0.9503383636474609,0.19739706814289093,0.9351666569709778,0.03125983476638794,0.9463929533958435,0.2105211317539215,0.9497412443161011,0.19962097704410553,0.9362708330154419,0.03113415092229843,0.940990686416626,0.22579456865787506,0.9479498267173767,0.20200148224830627,0.9348958134651184,0.031279657036066055,0.9476396441459656,0.20981812477111816
