samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.7647293210029602,0.7561160326004028,0.984375,0.29550909996032715,0.7540724873542786,0.7753341197967529,0.7626393437385559,0.8271259069442749,0.9470486044883728,0.3925657868385315,0.7480053305625916,0.8559684753417969,0.7273089289665222,0.8827868700027466,0.9644097089767456,0.3695674240589142,0.7282247543334961,0.8938423991203308
200,0.765625,0.7758275270462036,0.9375,0.3287399411201477,0.7519946694374084,0.8091403245925903,0.7647293210029602,0.7651705741882324,0.96875,0.31363579630851746,0.758228063583374,0.7824148535728455,0.7579618096351624,0.7362880110740662,0.9140625,0.35753393173217773,0.7445977330207825,0.7608932256698608
400,0.7990645170211792,0.6810670495033264,0.9933035969734192,0.12539735436439514,0.7842420339584351,0.7233127951622009,0.7965764403343201,0.6584027409553528,0.9977678656578064,0.10410664230585098,0.7859042286872864,0.6836548447608948,0.8177746534347534,0.5701119303703308,0.9821428656578064,0.1391703188419342,0.8113364577293396,0.5960443615913391
600,0.8313097357749939,0.558424174785614,0.987500011920929,0.11747045814990997,0.8235538601875305,0.5985576510429382,0.8318073153495789,0.5527328252792358,0.9937499761581421,0.1034722551703453,0.8247174024581909,0.5915396809577942,0.8493232727050781,0.4969833195209503,0.9921875,0.12520051002502441,0.842004656791687,0.5237187743186951
800,0.8510151505470276,0.5039708614349365,0.9867788553237915,0.11930263787508011,0.8482380509376526,0.5304089188575745,0.8658439517021179,0.45597994327545166,0.9927884340286255,0.09086601436138153,0.8553856611251831,0.509348452091217,0.8742038011550903,0.42167308926582336,0.9903846383094788,0.12673896551132202,0.8730884194374084,0.4331534802913666
1000,0.8767914175987244,0.4188597798347473,0.9837890863418579,0.127628356218338,0.8773271441459656,0.4189527928829193,0.8773885369300842,0.4018888771533966,0.9951171875,0.10785222798585892,0.8674368262290955,0.46127262711524963,0.8891321420669556,0.3723052740097046,0.983203113079071,0.1360098421573639,0.8904587626457214,0.3723445236682892
2000,0.933917224407196,0.23151478171348572,0.99169921875,0.10156333446502686,0.9307679533958435,0.24533474445343018,0.9138137102127075,0.2810429334640503,0.99365234375,0.09702979028224945,0.9085771441459656,0.3093731999397278,0.9325239062309265,0.23361803591251373,0.98828125,0.10969751328229904,0.9336768388748169,0.22224023938179016
4000,0.9598925113677979,0.13874465227127075,0.9960317611694336,0.0714106485247612,0.9567819237709045,0.15703581273555756,0.9584991931915283,0.1433921456336975,0.9947916865348816,0.07698409259319305,0.9528756737709045,0.16696932911872864,0.9527269005775452,0.17397049069404602,0.9965277910232544,0.06425222009420395,0.9553689956665039,0.16252101957798004
6000,0.971835196018219,0.10686200112104416,0.9973404407501221,0.06615455448627472,0.9685006737709045,0.11570443212985992,0.9704418778419495,0.10117002576589584,0.9958444237709045,0.06617645174264908,0.9654255509376526,0.12589271366596222,0.9582006335258484,0.1547090709209442,0.9981715679168701,0.049322839826345444,0.9595245718955994,0.15463347733020782
8000,0.9768112897872925,0.08090977370738983,0.9981250166893005,0.05913639813661575,0.9746509194374084,0.09345971047878265,0.9744227528572083,0.09407837688922882,0.9975000023841858,0.0557655468583107,0.9680851101875305,0.11824147403240204,0.9613853693008423,0.12726536393165588,0.9984999895095825,0.04987703263759613,0.9640957713127136,0.1277247667312622
10000,0.9778065085411072,0.08176878094673157,0.9979100227355957,0.05298486351966858,0.9774767160415649,0.08612489700317383,0.974920392036438,0.08624949306249619,0.9966162443161011,0.0570652037858963,0.9739029407501221,0.1001925840973854,0.9700437784194946,0.11823172867298126,0.9990047812461853,0.045130062848329544,0.9708278179168701,0.11562088876962662
20000,0.9787022471427917,0.07463104277849197,0.9984025359153748,0.04600311443209648,0.9788064956665039,0.09572114050388336,0.9762141704559326,0.08093035221099854,0.9989017844200134,0.03934253752231598,0.9758145213127136,0.09948528558015823,0.9733280539512634,0.09317688643932343,0.9990016222000122,0.04178434610366821,0.9780585169792175,0.09304390847682953
30000,0.9772093892097473,0.07187585532665253,0.9990005493164062,0.03897954151034355,0.9798038601875305,0.09181932359933853,0.9773089289665222,0.08097551763057709,0.999267041683197,0.036887675523757935,0.9766455888748169,0.09803034365177155,0.9801950454711914,0.07643366605043411,0.9991337656974792,0.0370674654841423,0.9821310043334961,0.07471147179603577
40000,0.9817874431610107,0.06731605529785156,0.999750018119812,0.03523219749331474,0.9807180762290955,0.08214815706014633,0.9828821420669556,0.06844986975193024,0.9995499849319458,0.035111986100673676,0.9793052077293396,0.08202047646045685,0.9821854829788208,0.07276903837919235,0.9995750188827515,0.03549530357122421,0.982629656791687,0.07038003206253052
48000,0.9834793210029602,0.06296049058437347,0.9995833039283752,0.03568406030535698,0.981299877166748,0.07437703013420105,0.9823845624923706,0.07043862342834473,0.9994375109672546,0.03531020134687424,0.9790558218955994,0.08250659704208374,0.9834793210029602,0.06313177198171616,0.9995833039283752,0.03488457575440407,0.9828789830207825,0.0714130699634552
