samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.7647293210029602,0.7561160326004028,0.984375,0.29550909996032715,0.7540724873542786,0.7753341197967529,0.7626393437385559,0.8271259069442749,0.9470486044883728,0.3925657868385315,0.7480053305625916,0.8559684753417969,0.7273089289665222,0.8827868700027466,0.9644097089767456,0.3695674240589142,0.7282247543334961,0.8938423991203308
200,0.7743829488754272,0.7208714485168457,0.97265625,0.27229899168014526,0.767785906791687,0.73773193359375,0.7956807613372803,0.7095211148262024,0.97265625,0.24588732421398163,0.780418872833252,0.7483717799186707,0.771795392036438,0.712013840675354,0.9140625,0.3507533073425293,0.7680352330207825,0.7242985963821411
400,0.8212579488754272,0.5693368315696716,0.9642857313156128,0.20813767611980438,0.8160737752914429,0.5760911107063293,0.8436504602432251,0.5081825852394104,0.9955357313156128,0.13261745870113373,0.8326961398124695,0.5321105122566223,0.840167224407196,0.4986358880996704,0.984375,0.19655297696590424,0.8375166058540344,0.5244840383529663
600,0.8604697585105896,0.47316670417785645,0.984375,0.16309130191802979,0.8568816781044006,0.4728037118911743,0.8756966590881348,0.4206481873989105,0.9906250238418579,0.14185599982738495,0.8627825975418091,0.45470306277275085,0.8642516136169434,0.42725518345832825,0.9781249761581421,0.1733722686767578,0.8590425252914429,0.4457370340824127
800,0.8801751732826233,0.38268470764160156,0.9819711446762085,0.1485828310251236,0.8796542286872864,0.3862757086753845,0.8965963125228882,0.35156580805778503,0.9867788553237915,0.14153750240802765,0.885388970375061,0.3838862180709839,0.8818670511245728,0.37732091546058655,0.9915865659713745,0.15230344235897064,0.881067156791687,0.3941376507282257
1000,0.8968949317932129,0.33555009961128235,0.986328125,0.14445433020591736,0.8956117033958435,0.3449787497520447,0.9081408977508545,0.3034960925579071,0.9921875,0.13624386489391327,0.8983544111251831,0.3422391712665558,0.9141122698783875,0.3048495054244995,0.9837890863418579,0.13746561110019684,0.9060837626457214,0.3202710747718811
2000,0.9390923380851746,0.20418131351470947,0.99267578125,0.11145181953907013,0.9377493262290955,0.21076451241970062,0.9382961988449097,0.20455068349838257,0.9892578125,0.10962985455989838,0.9282745718955994,0.23912613093852997,0.9271496534347534,0.23624390363693237,0.9892578125,0.11971530318260193,0.9298537373542786,0.23624803125858307
4000,0.9586982727050781,0.14079375565052032,0.9957837462425232,0.08057834953069687,0.9563663601875305,0.1483064889907837,0.9646695852279663,0.13060356676578522,0.9947916865348816,0.0847354605793953,0.953125,0.16978546977043152,0.9596934914588928,0.13170766830444336,0.9940476417541504,0.08536164462566376,0.9634308218955994,0.12811894714832306
6000,0.9714370965957642,0.09455657750368118,0.9966201186180115,0.07261329144239426,0.9682513475418091,0.11457086354494095,0.9721337556838989,0.0974101796746254,0.9960106611251831,0.07129208743572235,0.9664228558540344,0.1216183751821518,0.9694466590881348,0.10269729048013687,0.994348406791687,0.0743853971362114,0.970495343208313,0.10203453153371811
8000,0.9776074886322021,0.08087363839149475,0.9976249933242798,0.06029907613992691,0.9743185043334961,0.09687197208404541,0.9739251732826233,0.08813382685184479,0.9957500100135803,0.06742822378873825,0.9694979786872864,0.10869220644235611,0.975417971611023,0.0842917338013649,0.9951249957084656,0.06744059920310974,0.9765625,0.08622931689023972
10000,0.9783041477203369,0.0822427049279213,0.9976114630699158,0.05709683895111084,0.9776429533958435,0.09239695221185684,0.9773089289665222,0.07963201403617859,0.9976114630699158,0.057454127818346024,0.9728224873542786,0.10490384697914124,0.9765127301216125,0.07990387827157974,0.9977110028266907,0.057625532150268555,0.9802194237709045,0.07676394283771515
20000,0.9763137102127075,0.07760871946811676,0.9986521601676941,0.04569190740585327,0.980053186416626,0.08894813805818558,0.9772093892097473,0.0764685571193695,0.9986521601676941,0.04662837088108063,0.9767287373542786,0.0993521437048912,0.9803941249847412,0.07063443213701248,0.9988019466400146,0.045601047575473785,0.982629656791687,0.08139090985059738
30000,0.9815883636474609,0.07276961952447891,0.9991337656974792,0.03978382423520088,0.9798038601875305,0.08683617413043976,0.9783041477203369,0.0760093629360199,0.9989339113235474,0.041662413626909256,0.9782247543334961,0.09933533519506454,0.981090784072876,0.07243780791759491,0.9993003606796265,0.039613012224435806,0.982629656791687,0.07328585535287857
40000,0.9834793210029602,0.06883560121059418,0.9996500015258789,0.03708427771925926,0.9811336398124695,0.07882716506719589,0.9818869233131409,0.07313298434019089,0.9995999932289124,0.03648129850625992,0.9776429533958435,0.089890256524086,0.9822850227355957,0.06887055933475494,0.9997249841690063,0.03742184489965439,0.9820478558540344,0.07156256586313248
48000,0.9819864630699158,0.06427785009145737,0.9994583129882812,0.03511851280927658,0.9806349873542786,0.07842087000608444,0.9815883636474609,0.06976035237312317,0.999666690826416,0.03484831377863884,0.9781416058540344,0.08360866457223892,0.9811902642250061,0.0689702033996582,0.9994583129882812,0.03515724837779999,0.9842087626457214,0.06658785045146942
