samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.7643312215805054,0.7599738836288452,1.0,0.2039843052625656,0.7289727330207825,0.8464722037315369,0.7573646306991577,0.8326845765113831,0.9409722089767456,0.314536452293396,0.7116023898124695,0.9267396330833435,0.7252189517021179,0.908800482749939,0.9427083730697632,0.36862075328826904,0.6991356611251831,0.9842926263809204
200,0.7653264403343201,0.7535056471824646,0.9765625,0.21605810523033142,0.7280585169792175,0.8592041730880737,0.7782643437385559,0.7125017046928406,0.94140625,0.31882432103157043,0.7350398898124695,0.8214619159698486,0.7387539744377136,0.7661837935447693,0.96875,0.2156757414340973,0.7189993262290955,0.8498609662055969
400,0.8040406107902527,0.6498032212257385,0.9955357313156128,0.10327984392642975,0.7878158092498779,0.7757572531700134,0.8432523608207703,0.5054084062576294,0.9977678656578064,0.09805909544229507,0.813829779624939,0.6396718621253967,0.8226512670516968,0.5659089088439941,0.9933035969734192,0.10651714354753494,0.8046875,0.6774020791053772
600,0.8429538011550903,0.5139387845993042,0.989062488079071,0.10373406112194061,0.8233045339584351,0.6971179842948914,0.8715167045593262,0.4301038682460785,0.9937499761581421,0.09975473582744598,0.8439162373542786,0.5722493529319763,0.8522093892097473,0.4669950306415558,0.9921875,0.09240458160638809,0.8453291058540344,0.5622678995132446
800,0.8444466590881348,0.48698416352272034,0.9831730723381042,0.1160266101360321,0.8389295339584351,0.6282743811607361,0.8799760937690735,0.40201321244239807,0.9855769276618958,0.10452974587678909,0.8614528179168701,0.5161243081092834,0.8644506335258484,0.4298384487628937,0.984375,0.09314436465501785,0.8596243262290955,0.5041756629943848
1000,0.8805732727050781,0.38744795322418213,0.986328125,0.1130424439907074,0.8653590679168701,0.499003142118454,0.9043591022491455,0.33990243077278137,0.9935547113418579,0.08570574969053268,0.8818151354789734,0.4636305272579193,0.8944068551063538,0.3563711643218994,0.9769531488418579,0.11653165519237518,0.8813164830207825,0.43521127104759216
2000,0.9363057613372803,0.2244470864534378,0.98779296875,0.0781831294298172,0.9235372543334961,0.28236323595046997,0.9356091022491455,0.22816039621829987,0.98583984375,0.07695654779672623,0.921875,0.3070066571235657,0.9360071420669556,0.23860499262809753,0.984375,0.07678333669900894,0.9285239577293396,0.27518078684806824
4000,0.9633758068084717,0.12173005193471909,0.9960317611694336,0.03917078301310539,0.9593583941459656,0.15989162027835846,0.9628781676292419,0.13078708946704865,0.9920634627342224,0.04322926700115204,0.957446813583374,0.16389110684394836,0.9672571420669556,0.1250966340303421,0.9940476417541504,0.04451366886496544,0.9601895213127136,0.14609768986701965
6000,0.9760151505470276,0.08425392210483551,0.9958444237709045,0.03161865100264549,0.9703291058540344,0.1173255518078804,0.9740246534347534,0.09714894741773605,0.9971187710762024,0.027726251631975174,0.9676695466041565,0.1376083642244339,0.9735270738601685,0.0946696549654007,0.9951795339584351,0.035150643438100815,0.9719913601875305,0.10503771156072617
8000,0.9781050682067871,0.08044732362031937,0.9971250295639038,0.021187396720051765,0.9742353558540344,0.1000998243689537,0.9764131903648376,0.08662845939397812,0.9976249933242798,0.01868125982582569,0.9714095592498779,0.11302195489406586,0.9787022471427917,0.08732088655233383,0.9963750243186951,0.023676499724388123,0.9779754281044006,0.08558402210474014
10000,0.9791998267173767,0.07664364576339722,0.9982085824012756,0.015381436794996262,0.9763131737709045,0.09959987550973892,0.9761146306991577,0.08364669978618622,0.996715784072876,0.020782293751835823,0.9708278179168701,0.1125684306025505,0.9788017272949219,0.08174608647823334,0.9968152642250061,0.019513865932822227,0.9770611524581909,0.08983372896909714
20000,0.977707028388977,0.07064829766750336,0.9993510246276855,0.0058327545411884785,0.9785571694374084,0.09720458090305328,0.9758160710334778,0.07583204656839371,0.9993510246276855,0.005790841765701771,0.9767287373542786,0.10391206294298172,0.9797969460487366,0.07939984649419785,0.9996006488800049,0.00533540453761816,0.9805518388748169,0.0880851000547409
30000,0.9826831221580505,0.07474105060100555,0.9998334050178528,0.003011272754520178,0.977393627166748,0.09614735096693039,0.981488823890686,0.07848113030195236,0.9998667240142822,0.003062032163143158,0.975232720375061,0.09937818348407745,0.9800955653190613,0.07413960248231888,0.9997334480285645,0.0033228786196559668,0.9798038601875305,0.08312857151031494
40000,0.9826831221580505,0.06726954132318497,0.9998499751091003,0.002805376658216119,0.9788064956665039,0.0893542543053627,0.9817874431610107,0.07008218765258789,0.9998999834060669,0.0026992044877260923,0.9767287373542786,0.09253302961587906,0.9809912443161011,0.07262776792049408,0.9999250173568726,0.0030918323900550604,0.9809674024581909,0.08099603652954102
48000,0.9820860028266907,0.06169581040740013,0.999833345413208,0.0028263218700885773,0.9790558218955994,0.08103310316801071,0.9831807613372803,0.06913286447525024,0.9998541474342346,0.002801701659336686,0.9760638475418091,0.08510515838861465,0.9805931448936462,0.07149713486433029,0.9998958110809326,0.002869610209017992,0.9813829660415649,0.07601777464151382
