samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.7690087556838989,0.7505858540534973,1.0,0.21524442732334137,0.7558178305625916,0.7704535722732544,0.7602508068084717,0.8283652663230896,0.9565972089767456,0.3564754128456116,0.7454288601875305,0.8555344343185425,0.7281050682067871,0.8962884545326233,0.9565972089767456,0.35456743836402893,0.7308012247085571,0.9061294198036194
200,0.8232483863830566,0.5931195020675659,0.9453125,0.22152553498744965,0.8176529407501221,0.6093463897705078,0.8303145170211792,0.5761612057685852,0.875,0.42292022705078125,0.809923529624939,0.6158736348152161,0.8003582954406738,0.6316728591918945,0.96484375,0.19047507643699646,0.7997838854789734,0.6536081433296204
400,0.8568869233131409,0.4884272813796997,0.9910714030265808,0.09919263422489166,0.8512300252914429,0.5094659328460693,0.8726114630699158,0.42677170038223267,0.9910714030265808,0.08594834804534912,0.855053186416626,0.4841214120388031,0.8475318551063538,0.49965113401412964,0.9955357313156128,0.08871878683567047,0.8395112752914429,0.5314337611198425
600,0.8754976391792297,0.4391169846057892,0.989062488079071,0.07229213416576385,0.8705950975418091,0.4636470675468445,0.8848527073860168,0.3861274719238281,0.9906250238418579,0.054060887545347214,0.8713430762290955,0.4597947597503662,0.8757961988449097,0.40630143880844116,0.996874988079071,0.06044831871986389,0.8681017160415649,0.44712552428245544
800,0.8821656107902527,0.40310487151145935,0.9879807829856873,0.06612396985292435,0.8770778179168701,0.4358595311641693,0.8931130766868591,0.3608810305595398,0.9939903616905212,0.04072492942214012,0.8833111524581909,0.42814505100250244,0.8859474658966064,0.38110411167144775,0.9915865659713745,0.05092275142669678,0.8805685043334961,0.4236607551574707
1000,0.8921178579330444,0.37801051139831543,0.9916015863418579,0.049931351095438004,0.8852227330207825,0.4063757359981537,0.8953025341033936,0.3508213460445404,0.9970703125,0.03524131327867508,0.8835604786872864,0.4346637427806854,0.8956010937690735,0.35290396213531494,0.9951171875,0.032431408762931824,0.8922041058540344,0.3965633511543274
2000,0.9100318551063538,0.3093050420284271,0.998046875,0.02312035672366619,0.910571813583374,0.33575621247291565,0.9190883636474609,0.27643051743507385,0.99609375,0.022456321865320206,0.9114029407501221,0.3558252155780792,0.9167993664741516,0.28166913986206055,0.99755859375,0.02811877429485321,0.9231216907501221,0.3055436909198761
4000,0.9348129034042358,0.22645534574985504,0.9992559552192688,0.012714432552456856,0.9364195466041565,0.25166216492652893,0.9379976391792297,0.22065198421478271,0.9992559552192688,0.009415395557880402,0.9330950975418091,0.2924139201641083,0.934215784072876,0.2313891053199768,0.998759925365448,0.014121098443865776,0.9356715679168701,0.26987549662590027
6000,0.9515326619148254,0.17963124811649323,0.9988364577293396,0.007310063112527132,0.9499667286872864,0.20786455273628235,0.9460589289665222,0.19344738125801086,0.9998337626457214,0.0062671625055372715,0.9404088854789734,0.25899723172187805,0.9439689517021179,0.1983295977115631,0.9993351101875305,0.01003188081085682,0.9480552077293396,0.2163059562444687
8000,0.9493431448936462,0.16785620152950287,0.999625027179718,0.005644248798489571,0.9551196694374084,0.18328852951526642,0.9511345624923706,0.17377912998199463,0.999625027179718,0.0053422218188643456,0.9489694237709045,0.2286510020494461,0.9510350227355957,0.16148518025875092,0.9994999766349792,0.006898402702063322,0.953956127166748,0.18576166033744812
10000,0.9549164175987244,0.1451989859342575,0.9994028806686401,0.00512181781232357,0.9610205888748169,0.16140606999397278,0.9528264403343201,0.16329094767570496,0.9995023608207703,0.005662803538143635,0.9547041058540344,0.19544006884098053,0.9551154375076294,0.1554134339094162,0.9997014403343201,0.005006452556699514,0.9589428305625916,0.1713947206735611
20000,0.968949019908905,0.10374610126018524,0.9997503757476807,0.0030558134894818068,0.972240686416626,0.11903024464845657,0.9669585824012756,0.11007655411958694,0.9999001622200012,0.0027300475630909204,0.9684175252914429,0.13675761222839355,0.9684514403343201,0.11165470629930496,0.9995507001876831,0.0032799069304019213,0.9719913601875305,0.11117113381624222
30000,0.975417971611023,0.09244857728481293,0.9998334050178528,0.002613962395116687,0.9753158092498779,0.10263519734144211,0.972332775592804,0.09142786264419556,0.9997001886367798,0.0030584605410695076,0.9732380509376526,0.11301656812429428,0.977707028388977,0.08441493660211563,0.9999333620071411,0.0024655575398355722,0.9768118262290955,0.09143758565187454
40000,0.9797969460487366,0.06863213330507278,0.999875009059906,0.0026720217429101467,0.9798038601875305,0.08123435825109482,0.9806926846504211,0.07897660881280899,0.9999250173568726,0.002622388768941164,0.9770611524581909,0.09183013439178467,0.9793989062309265,0.0761270597577095,0.9998250007629395,0.002838516840711236,0.9803025126457214,0.07743143290281296
48000,0.981090784072876,0.0662006214261055,0.9998541474342346,0.002734358888119459,0.98046875,0.07291971147060394,0.9823845624923706,0.06964434683322906,0.999916672706604,0.0027455163653939962,0.978307843208313,0.08575651794672012,0.9832802414894104,0.06414797157049179,0.99979168176651,0.0029072067700326443,0.982214093208313,0.07054372876882553
