samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.7690087556838989,0.7505858540534973,1.0,0.21524442732334137,0.7558178305625916,0.7704535722732544,0.7602508068084717,0.8283652663230896,0.9565972089767456,0.3564754128456116,0.7454288601875305,0.8555344343185425,0.7281050682067871,0.8962884545326233,0.9565972089767456,0.35456743836402893,0.7308012247085571,0.9061294198036194
200,0.7548766136169434,0.7502150535583496,0.9765625,0.20615294575691223,0.746509313583374,0.7782331705093384,0.7946854829788208,0.6934188604354858,0.95703125,0.24839085340499878,0.7671210169792175,0.74581378698349,0.7574641704559326,0.7366121411323547,0.9765625,0.19871477782726288,0.7551529407501221,0.7539611458778381
400,0.8051353693008423,0.6432256698608398,0.9776785969734192,0.14867761731147766,0.8171542286872864,0.6874149441719055,0.8426552414894104,0.5395218133926392,0.9933035969734192,0.13428734242916107,0.8244680762290955,0.6109498739242554,0.8268312215805054,0.5521340370178223,0.9821428656578064,0.11898057162761688,0.8222240805625916,0.5772007703781128
600,0.8494227528572083,0.5146746635437012,0.9859374761581421,0.11715389788150787,0.8469082713127136,0.5530247092247009,0.8771895170211792,0.4047600030899048,0.9859374761581421,0.10816004127264023,0.8618683218955994,0.5028815865516663,0.8671377301216125,0.4461509585380554,0.995312511920929,0.10070385783910751,0.8612865805625916,0.4696292579174042
800,0.8710191249847412,0.4344293475151062,0.9867788553237915,0.10376756638288498,0.8709275126457214,0.4769980311393738,0.884454607963562,0.38441184163093567,0.984375,0.12113712728023529,0.8723404407501221,0.4615299105644226,0.8883360028266907,0.3842216730117798,0.9867788553237915,0.10484712570905685,0.8908743262290955,0.38401612639427185
1000,0.8884354829788208,0.3830469846725464,0.98828125,0.10245020687580109,0.8853058218955994,0.4172106087207794,0.8950039744377136,0.33364197611808777,0.9867187738418579,0.11800067126750946,0.8912898898124695,0.39081427454948425,0.9011743664741516,0.3307030200958252,0.9814453125,0.11692586541175842,0.9085771441459656,0.33482086658477783
2000,0.9394904375076294,0.21638824045658112,0.9912109375,0.06419795751571655,0.9351728558540344,0.23768317699432373,0.9395899772644043,0.20498958230018616,0.99365234375,0.06660519540309906,0.9341755509376526,0.2353912889957428,0.9358081221580505,0.2076214849948883,0.99072265625,0.0798511952161789,0.937915563583374,0.225369393825531
4000,0.9616839289665222,0.13028313219547272,0.9942956566810608,0.04037979990243912,0.9623504281044006,0.14105896651744843,0.9638733863830566,0.13164611160755157,0.9933035969734192,0.046971336007118225,0.9556183218955994,0.16101594269275665,0.965664803981781,0.12310691177845001,0.9935516119003296,0.045288052409887314,0.9667553305625916,0.1262839436531067
6000,0.9710389971733093,0.09468090534210205,0.9966755509376526,0.030186161398887634,0.9717420339584351,0.10421136021614075,0.9748208522796631,0.09022249281406403,0.995124101638794,0.02985934168100357,0.9688330888748169,0.11159849911928177,0.9730294346809387,0.09589271247386932,0.9958444237709045,0.036300335079431534,0.974817156791687,0.0944267064332962
8000,0.9773089289665222,0.08201512694358826,0.9971250295639038,0.022051095962524414,0.9755651354789734,0.09784888476133347,0.9790008068084717,0.08185085654258728,0.9976249933242798,0.020996108651161194,0.97265625,0.1039191484451294,0.977707028388977,0.08381892740726471,0.9959999918937683,0.027322346344590187,0.977892279624939,0.08439382910728455
10000,0.9795979261398315,0.07306831330060959,0.9970143437385559,0.018349507823586464,0.9788064956665039,0.09147980064153671,0.9786027073860168,0.07883594930171967,0.9986066818237305,0.014687099494040012,0.9754820466041565,0.09782801568508148,0.9797969460487366,0.07363314181566238,0.997113823890686,0.01818462833762169,0.9810505509376526,0.07642009854316711
20000,0.9770103693008423,0.07599514722824097,0.9992012977600098,0.0060271769762039185,0.9798038601875305,0.0926622822880745,0.9800955653190613,0.07229385524988174,0.9993510246276855,0.006219365168362856,0.9758976101875305,0.09589634835720062,0.9794983863830566,0.07345699518918991,0.998302698135376,0.00814434327185154,0.980053186416626,0.07693492621183395
30000,0.9784036874771118,0.07016071677207947,0.9995335936546326,0.0039209420792758465,0.9808012247085571,0.0864783525466919,0.9816879034042358,0.07054309546947479,0.9998667240142822,0.003357469104230404,0.9766455888748169,0.09499216824769974,0.9805931448936462,0.07725086063146591,0.9998334050178528,0.0033955045510083437,0.9828789830207825,0.07658924907445908
40000,0.9796974658966064,0.07225637882947922,0.9996749758720398,0.0033400990068912506,0.9793052077293396,0.08889590203762054,0.981289803981781,0.07618200033903122,0.9998250007629395,0.002920247381553054,0.9783909320831299,0.0870378240942955,0.9822850227355957,0.06903763860464096,0.9997249841690063,0.0030117176938802004,0.9822971820831299,0.07530421763658524
48000,0.9816879034042358,0.0687374696135521,0.9998541474342346,0.0027589015662670135,0.9809674024581909,0.07609810680150986,0.9824841022491455,0.06524771451950073,0.9998541474342346,0.002768715610727668,0.9781416058540344,0.07938580214977264,0.9819864630699158,0.06627334654331207,0.999833345413208,0.002827641787007451,0.9822971820831299,0.07227446883916855
