samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.17266841232776642,2.37756609916687,1.0,0.11802041530609131,0.17719821631908417,4.831884860992432,0.14602528512477875,2.333548069000244,1.0,0.05384979769587517,0.1907138079404831,5.084242343902588,0.11011722683906555,2.3487555980682373,1.0,0.053429581224918365,0.17951229214668274,5.16517448425293
200,0.10723792761564255,2.4127297401428223,0.87109375,0.8466256856918335,0.21802952885627747,3.4180586338043213,0.16360822319984436,2.346693515777588,0.94140625,0.7443697452545166,0.2662009298801422,3.5470941066741943,0.13171836733818054,2.2999684810638428,0.95703125,0.5221141576766968,0.28931984305381775,3.9431991577148438
400,0.12666359543800354,2.411998987197876,0.9955357313156128,0.20330628752708435,0.5223313570022583,2.547999858856201,0.164030522108078,2.4115426540374756,0.9910714030265808,0.20873406529426575,0.5427325367927551,2.5195465087890625,0.5778562426567078,2.178114414215088,1.0,0.011475251987576485,0.5718558430671692,2.174038887023926
600,0.6495316624641418,1.7769520282745361,1.0,0.0045884745195508,0.6577152609825134,1.7187446355819702,0.6677415370941162,1.70354163646698,1.0,0.004173929803073406,0.6764383912086487,1.6914417743682861,0.6533322930335999,1.8622944355010986,1.0,0.005100796930491924,0.6566859483718872,1.8724983930587769
800,0.720720648765564,1.441582202911377,1.0,0.006861050147563219,0.7376084923744202,1.4122649431228638,0.7230370044708252,1.5013986825942993,1.0,0.004415691364556551,0.7402811050415039,1.4098948240280151,0.7156787514686584,1.5587927103042603,1.0,0.0037450529634952545,0.7317347526550293,1.4927135705947876
1000,0.7665847539901733,1.2845183610916138,1.0,0.0029770752880722284,0.7827441692352295,1.2420753240585327,0.7461865544319153,1.393617033958435,1.0,0.003133401507511735,0.7690123319625854,1.289666771888733,0.7513052821159363,1.3802897930145264,1.0,0.0031454951968044043,0.7665559649467468,1.3428808450698853
2000,0.7968366146087646,0.8938942551612854,1.0,0.02240092121064663,0.837824285030365,0.8643158078193665,0.821880042552948,0.9629084467887878,1.0,0.004028914961963892,0.8321553468704224,0.952039361000061,0.812384843826294,0.8681475520133972,1.0,0.015850000083446503,0.8413723111152649,0.8588476777076721
4000,0.838055431842804,0.6561247706413269,1.0,0.03115255944430828,0.8741233944892883,0.6774446368217468,0.8639435172080994,0.6558620929718018,0.9997519850730896,0.011034769006073475,0.8872585296630859,0.6380273699760437,0.8475763201713562,0.6572486162185669,0.9997519850730896,0.02178613655269146,0.8808956146240234,0.652591347694397
6000,0.873157262802124,0.5452397465705872,1.0,0.015374028123915195,0.8996477127075195,0.5726120471954346,0.8860054016113281,0.5103997588157654,0.9998337626457214,0.015525354072451591,0.9026105999946594,0.5639658570289612,0.8733748197555542,0.5599427819252014,0.9998337626457214,0.014738405123353004,0.8999553918838501,0.5693991780281067
8000,0.9021806120872498,0.41537272930145264,0.999875009059906,0.0257513877004385,0.9155687689781189,0.4951975345611572,0.8948096036911011,0.4382789134979248,1.0,0.018845846876502037,0.9146875739097595,0.49782028794288635,0.8911368250846863,0.470608651638031,0.999875009059906,0.020158741623163223,0.91386878490448,0.495826780796051
10000,0.9075425267219543,0.41454702615737915,0.999800980091095,0.028416628018021584,0.9221699237823486,0.4418475925922394,0.9110231995582581,0.3934091627597809,0.9999004602432251,0.021514559164643288,0.9245637655258179,0.43992602825164795,0.9061604738235474,0.3882744014263153,0.9990047812461853,0.05785531923174858,0.9262129068374634,0.4268903136253357
20000,0.927787184715271,0.30963510274887085,0.9942092895507812,0.11183718591928482,0.9384263157844543,0.36175334453582764,0.9309735894203186,0.30149170756340027,0.9992012977600098,0.046098124235868454,0.9406155347824097,0.33048903942108154,0.9270193576812744,0.31875306367874146,0.9945088028907776,0.11072613298892975,0.9357028603553772,0.37694865465164185
30000,0.9407120943069458,0.25272825360298157,0.9940698146820068,0.09382816404104233,0.9395631551742554,0.34022822976112366,0.9358235597610474,0.28806179761886597,0.9996668696403503,0.017078068107366562,0.9436859488487244,0.3139411211013794,0.939803421497345,0.27163055539131165,0.9983675479888916,0.04129422456026077,0.9446527361869812,0.30492261052131653
40000,0.9413647055625916,0.25859662890434265,0.9989500045776367,0.019957760348916054,0.9481891989707947,0.2950597405433655,0.9438344836235046,0.2645113468170166,0.9993000030517578,0.012858029454946518,0.9450563788414001,0.3228420615196228,0.938088595867157,0.2658962905406952,0.9933249950408936,0.08957795053720474,0.9419177174568176,0.31006360054016113
50000,0.9387028813362122,0.2583780884742737,0.9914681911468506,0.0876888632774353,0.940405011177063,0.31741294264793396,0.9410319328308105,0.2582703232765198,0.9984614849090576,0.020439134910702705,0.9445047378540039,0.3066417872905731,0.9408527612686157,0.26062101125717163,0.9982816576957703,0.02068115957081318,0.9443682432174683,0.30833861231803894
