samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.11108977347612381,2.3206605911254883,0.9722222089767456,0.5016754865646362,0.1833101361989975,4.7640557289123535,0.08314137160778046,2.405123472213745,0.9505208730697632,0.6536874175071716,0.16860105097293854,4.849072456359863,0.13773290812969208,2.3108975887298584,0.9583333730697632,0.6153924465179443,0.1574561893939972,5.222660541534424
200,0.13320280611515045,2.407365322113037,0.79296875,1.3964872360229492,0.19687199592590332,3.1081290245056152,0.12457770109176636,2.4030816555023193,0.67578125,1.363572359085083,0.2060878723859787,3.506157875061035,0.1913134604692459,2.2823004722595215,0.80078125,1.170979619026184,0.16628694534301758,3.825920820236206
400,0.2048397958278656,2.5043535232543945,0.9308035969734192,0.630437433719635,0.439168781042099,2.474438190460205,0.11503122746944427,2.3953487873077393,0.9151785969734192,0.7601667046546936,0.40249961614608765,2.730506181716919,0.17465190589427948,2.2735209465026855,0.8459821343421936,1.0560672283172607,0.3649607300758362,2.754409074783325
600,0.46612662076950073,1.9498424530029297,0.9739583730697632,0.6672658324241638,0.5826027989387512,1.9849534034729004,0.4870111346244812,2.25274920463562,0.9984375238418579,0.32259637117385864,0.522303581237793,2.1865952014923096,0.502367377281189,1.7271722555160522,0.994270920753479,0.44498223066329956,0.5712995529174805,1.7984459400177002
800,0.6236563324928284,1.6977866888046265,1.0,0.33913707733154297,0.6327136158943176,1.6548045873641968,0.5080620646476746,1.8106521368026733,0.9723557829856873,0.4116905629634857,0.6131542921066284,1.7818851470947266,0.5665693879127502,1.5717551708221436,0.9963942170143127,0.43297961354255676,0.6394003033638,1.5202407836914062
1000,0.6932713389396667,1.3651833534240723,0.9984375238418579,0.2888510823249817,0.694094181060791,1.390792965888977,0.5882217288017273,1.4399099349975586,0.9769531488418579,0.3756354749202728,0.6645892858505249,1.5819932222366333,0.6639409065246582,1.4812431335449219,1.0,0.30591922998428345,0.6953558921813965,1.3147661685943604
2000,0.7451371550559998,0.9409878253936768,0.99853515625,0.3121822476387024,0.7951229810714722,0.8972664475440979,0.7878404259681702,0.9306367039680481,0.99853515625,0.23676037788391113,0.7938658595085144,0.92742520570755,0.72591632604599,0.9773097634315491,0.99365234375,0.33363187313079834,0.7794123888015747,0.9188498258590698
4000,0.8119369149208069,0.675909161567688,0.99379962682724,0.27256274223327637,0.853950023651123,0.6865193843841553,0.7856521606445312,0.700247585773468,0.9672619104385376,0.38156867027282715,0.8174230456352234,0.8301421999931335,0.7816595435142517,0.7256457805633545,0.9722222089767456,0.39227280020713806,0.8341397643089294,0.7472828030586243
6000,0.8431357741355896,0.5393983125686646,0.9971742033958435,0.25705283880233765,0.8755735754966736,0.5566366314888,0.8490606546401978,0.5244171619415283,0.9843195676803589,0.29775339365005493,0.8783086538314819,0.5538269281387329,0.8332949876785278,0.5660302639007568,0.977892279624939,0.3631620705127716,0.8591923117637634,0.6528627872467041
8000,0.8626382350921631,0.459456205368042,0.9676250219345093,0.3561801612377167,0.8645883202552795,0.6419003009796143,0.8524903059005737,0.4899880588054657,0.9668750166893005,0.3642941415309906,0.8746750354766846,0.6181964874267578,0.8507498502731323,0.4935775399208069,0.9642500281333923,0.40507763624191284,0.8757274150848389,0.5635561943054199
10000,0.8668739199638367,0.4338774085044861,0.9582006335258484,0.3932446539402008,0.8911130428314209,0.48945820331573486,0.8772266507148743,0.4097205400466919,0.9695461988449097,0.36757975816726685,0.8886115550994873,0.5352597236633301,0.8625741600990295,0.4555698037147522,0.9566082954406738,0.408724308013916,0.8907892107963562,0.4809888005256653
20000,0.9035754203796387,0.32748889923095703,0.9619608521461487,0.3472304046154022,0.9132431149482727,0.391599178314209,0.9008625745773315,0.3331139385700226,0.9667032957077026,0.33897367119789124,0.9054705500602722,0.4436323642730713,0.9033322930335999,0.336799293756485,0.9950079917907715,0.22112445533275604,0.9244504570960999,0.34459322690963745
30000,0.9173449277877808,0.2887871563434601,0.9871512651443481,0.2386246919631958,0.9283338785171509,0.3112897276878357,0.9113559722900391,0.30247440934181213,0.9884839057922363,0.23698343336582184,0.9276515245437622,0.3307598829269409,0.9163467288017273,0.2967830002307892,0.9883618354797363,0.22775334119796753,0.9271172285079956,0.3249623775482178
40000,0.9216830730438232,0.27119144797325134,0.9714999794960022,0.2909761369228363,0.9251269698143005,0.3195829391479492,0.9184709787368774,0.28307849168777466,0.9696750044822693,0.2932668924331665,0.9180251359939575,0.3468957543373108,0.9152845740318298,0.2901529371738434,0.9697999954223633,0.290293425321579,0.9241093397140503,0.31510767340660095
50000,0.9203009605407715,0.2869532108306885,0.9963635206222534,0.17865696549415588,0.9342873096466064,0.32212895154953003,0.9179719090461731,0.2915182411670685,0.9878516793251038,0.21243813633918762,0.9330418109893799,0.2932223081588745,0.91470867395401,0.29370126128196716,0.9722666144371033,0.2776545584201813,0.9194637537002563,0.32726433873176575
