samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.09220156818628311,2.351132392883301,0.984375,0.5615662932395935,0.17841480672359467,4.909854412078857,0.07803542166948318,2.3687617778778076,0.9548611044883728,0.5919703245162964,0.16840791702270508,5.098262786865234,0.15395934879779816,2.3016746044158936,0.9722222089767456,0.5892421007156372,0.1582518368959427,5.224620342254639
200,0.19044329226016998,2.4193601608276367,0.76171875,1.253467082977295,0.24058522284030914,2.9193339347839355,0.16616757214069366,2.2756717205047607,0.7109375,1.3174893856048584,0.18577802181243896,3.3065125942230225,0.11016839742660522,2.2988178730010986,0.8046875,1.2670881748199463,0.22454504668712616,4.366621971130371
400,0.1864762306213379,2.451159954071045,0.9285714030265808,0.6526095271110535,0.4398788511753082,2.7038159370422363,0.11801289767026901,2.4030439853668213,0.8794642686843872,0.7439591288566589,0.4412215054035187,2.5665411949157715,0.24264177680015564,2.290592908859253,0.9575892686843872,0.6699366569519043,0.4529966413974762,2.3946926593780518
600,0.5417690277099609,1.8451426029205322,0.9927083849906921,0.4333028793334961,0.5924454927444458,1.8467952013015747,0.5971667766571045,1.7118557691574097,0.9984375238418579,0.3133966326713562,0.6183850169181824,1.7300549745559692,0.5720592737197876,1.8871784210205078,0.9984375238418579,0.45709022879600525,0.5854801535606384,1.7904022932052612
800,0.5096616148948669,1.701461911201477,0.9651442170143127,0.5315574407577515,0.6009177565574646,1.8641581535339355,0.6595772504806519,1.4879214763641357,0.9975961446762085,0.25054624676704407,0.6794012188911438,1.4154845476150513,0.6301059722900391,1.5470155477523804,0.9987980723381042,0.40900230407714844,0.6525689959526062,1.4791908264160156
1000,0.7065801620483398,1.2656999826431274,0.9990234375,0.28852325677871704,0.7248098850250244,1.212881326675415,0.6782606244087219,1.4417309761047363,1.0,0.250266969203949,0.6950944662094116,1.4049015045166016,0.6134700179100037,1.3908146619796753,0.994140625,0.45679211616516113,0.6823757290840149,1.4462976455688477
2000,0.7318284511566162,0.9577541947364807,0.994140625,0.3439156711101532,0.7786676287651062,0.9168741703033447,0.7888002395629883,0.9090003371238708,0.99951171875,0.27262619137763977,0.809911847114563,0.8661203384399414,0.7785626649856567,0.9152546525001526,0.9970703125,0.31679511070251465,0.8035720586776733,0.8791372179985046
4000,0.7636927366256714,0.7375295758247375,0.9667658805847168,0.4220763146877289,0.829653799533844,0.7633553743362427,0.806255042552948,0.6876941919326782,0.9967758059501648,0.2792712152004242,0.8525622487068176,0.6990090012550354,0.8036829233169556,0.6419386863708496,0.961309552192688,0.4471340775489807,0.8150349855422974,0.8052999973297119
6000,0.8342034816741943,0.5734333992004395,0.9939051866531372,0.29513680934906006,0.8729068040847778,0.5807168483734131,0.8218032717704773,0.5894725322723389,0.9834884405136108,0.3069698214530945,0.8733959794044495,0.5622385740280151,0.836007833480835,0.5558201670646667,0.9953457713127136,0.30460041761398315,0.8779674768447876,0.5475785732269287
8000,0.8494318127632141,0.5110407471656799,0.9942499995231628,0.2792510986328125,0.8897599577903748,0.5106862187385559,0.8553823828697205,0.4866602122783661,0.9854999780654907,0.28610363602638245,0.8901242613792419,0.49584633111953735,0.861665666103363,0.5083179473876953,0.9976249933242798,0.25197991728782654,0.8966062664985657,0.47502076625823975
10000,0.8687423467636108,0.4405283033847809,0.9862658977508545,0.305538535118103,0.9036225080490112,0.44636544585227966,0.8801443576812744,0.41317805647850037,0.9944267272949219,0.24574340879917145,0.9008759260177612,0.43935054540634155,0.8706107139587402,0.42479538917541504,0.9631767272949219,0.3756280541419983,0.8847223520278931,0.5178276896476746
20000,0.9048551917076111,0.3244166672229767,0.9639077186584473,0.3379693329334259,0.9119409322738647,0.40254780650138855,0.9079391956329346,0.31672102212905884,0.9650558829307556,0.33863046765327454,0.9144828915596008,0.38609060645103455,0.896869957447052,0.3476085364818573,0.9660543203353882,0.33192887902259827,0.9098431468009949,0.4227127432823181
30000,0.9157068729400635,0.3063730001449585,0.9981343150138855,0.19678935408592224,0.9342584013938904,0.32971733808517456,0.9217982292175293,0.2851741909980774,0.9955690503120422,0.2102019488811493,0.9297609329223633,0.3339943587779999,0.9134033918380737,0.30095288157463074,0.9949582815170288,0.2099960595369339,0.9300512075424194,0.3233482241630554
40000,0.9214910864830017,0.2788798213005066,0.994825005531311,0.198629692196846,0.9322912693023682,0.30576908588409424,0.9142096042633057,0.29782426357269287,0.9676250219345093,0.3112075924873352,0.9196626543998718,0.33358296751976013,0.9110744595527649,0.30255672335624695,0.9645000100135803,0.32304200530052185,0.9160463809967041,0.34692782163619995
50000,0.9232314229011536,0.27790459990501404,0.9954243898391724,0.1799566000699997,0.935765266418457,0.30852678418159485,0.9227323532104492,0.2760486304759979,0.9952645301818848,0.18598432838916779,0.933451235294342,0.322079062461853,0.9202625751495361,0.28321224451065063,0.9959239363670349,0.176305890083313,0.9335992336273193,0.31428149342536926
