samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.1320766806602478,2.314244508743286,0.9305555820465088,0.2102821171283722,0.14838719367980957,5.1794023513793945,0.0961558073759079,2.3330748081207275,0.9782986044883728,0.09819387644529343,0.15133270621299744,4.846195220947266,0.09527282416820526,2.3480262756347656,0.9782986044883728,0.08665725588798523,0.18025705218315125,4.7454423904418945
200,0.1114736869931221,2.299962043762207,0.7578125,0.7418943643569946,0.18729066848754883,3.8423686027526855,0.11771857738494873,2.3328914642333984,0.61328125,0.9746400117874146,0.18191194534301758,3.533069372177124,0.11013001203536987,2.296368360519409,0.8046875,0.6572835445404053,0.22303816676139832,3.6346030235290527
400,0.5249155163764954,2.0655925273895264,0.9977678656578064,0.01279409509152174,0.5429152250289917,1.99126136302948,0.15466319024562836,2.434896230697632,0.9553571343421936,0.17250655591487885,0.4285755455493927,2.603386163711548,0.11718110740184784,2.3513216972351074,0.8861607313156128,0.3579208254814148,0.40177100896835327,2.9667088985443115
600,0.5935068726539612,1.7852352857589722,1.0,0.005559328477829695,0.6257088780403137,1.6798105239868164,0.5777667164802551,2.0888216495513916,1.0,0.004072994459420443,0.5967498421669006,1.9245176315307617,0.59645015001297,1.841208577156067,0.9984375238418579,0.0074206129647791386,0.6024755239486694,1.9111101627349854
800,0.6575936675071716,1.544736385345459,0.9975961446762085,0.009140176698565483,0.6822843551635742,1.5346757173538208,0.6245649456977844,1.599674940109253,0.9963942170143127,0.01139863207936287,0.6693596839904785,1.5114705562591553,0.6126766204833984,1.471422791481018,0.9939903616905212,0.024393673986196518,0.6669889092445374,1.528517723083496
1000,0.7175214886665344,1.2954741716384888,1.0,0.004898725543171167,0.7335203886032104,1.290756344795227,0.672924280166626,1.4945836067199707,1.0,0.004498880822211504,0.7052609920501709,1.3792164325714111,0.7095106244087219,1.2791635990142822,1.0,0.0038341106846928596,0.7141935229301453,1.3342835903167725
2000,0.7169328927993774,0.9392301440238953,0.99462890625,0.028051219880580902,0.7835745215415955,0.9636356830596924,0.7602375745773315,0.7896258234977722,0.99365234375,0.03375096246600151,0.8033558130264282,0.8251076340675354,0.7702702879905701,0.8258697986602783,0.99560546875,0.016724510118365288,0.8051702976226807,0.8432818651199341
4000,0.8196917772293091,0.6145479083061218,0.9967758059501648,0.01446450874209404,0.850156843662262,0.7063839435577393,0.8269221186637878,0.6003187894821167,0.996279776096344,0.01764572784304619,0.8582820892333984,0.6711151003837585,0.7856265306472778,0.6656346321105957,0.9841269850730896,0.05314626172184944,0.8499128222465515,0.7021393775939941
6000,0.8355600237846375,0.5330840349197388,0.9818816781044006,0.05947281792759895,0.8739927411079407,0.5858997702598572,0.8193975687026978,0.5964584946632385,0.9921875,0.026182733476161957,0.8647016882896423,0.630605161190033,0.8399493098258972,0.5244834423065186,0.995678186416626,0.016394125297665596,0.8772053718566895,0.5708832144737244
8000,0.8696637153625488,0.4354284703731537,0.9825000166893005,0.054087065160274506,0.8869624733924866,0.5087550282478333,0.8723766803741455,0.4251841604709625,0.9931250214576721,0.026434360072016716,0.8918867111206055,0.5026930570602417,0.8764715790748596,0.4480673372745514,0.9975000023841858,0.011816703714430332,0.8952473998069763,0.5085968971252441
10000,0.8870290517807007,0.4005579948425293,0.9934315085411072,0.023544220253825188,0.9051178097724915,0.4522605538368225,0.8942337036132812,0.3895730674266815,0.9975119233131409,0.009627843275666237,0.9043222069740295,0.4667104482650757,0.8794660568237305,0.3971661329269409,0.9822850227355957,0.05593186989426613,0.9047940373420715,0.4439273476600647
20000,0.920620858669281,0.3031338155269623,0.9971046447753906,0.010562811978161335,0.92949378490448,0.360248327255249,0.916180431842804,0.2943602204322815,0.9879193305969238,0.04103622958064079,0.9260764122009277,0.33695900440216064,0.9199681878089905,0.2971102297306061,0.9963558316230774,0.013640551827847958,0.9285327792167664,0.34581226110458374
30000,0.9217725992202759,0.2762340307235718,0.987373411655426,0.039862558245658875,0.9319443106651306,0.31097611784935,0.9266994595527649,0.26674944162368774,0.9969349503517151,0.012563223950564861,0.9324277639389038,0.33205166459083557,0.9219517707824707,0.2757720649242401,0.9874067306518555,0.039737507700920105,0.9324960112571716,0.3131675124168396
40000,0.927326500415802,0.2572830021381378,0.9969000220298767,0.01189637091010809,0.9338663816452026,0.318404883146286,0.9284397959709167,0.2521665394306183,0.9969499707221985,0.011717741377651691,0.931813657283783,0.32882311940193176,0.9287980794906616,0.2561197578907013,0.996874988079071,0.01264376100152731,0.9353675246238708,0.30990999937057495
50000,0.9232059121131897,0.2745876908302307,0.9946451187133789,0.02101796306669712,0.9332465529441833,0.30045968294143677,0.9210176467895508,0.26930493116378784,0.9885709881782532,0.038922566920518875,0.9304432272911072,0.29883837699890137,0.9256116151809692,0.2651228606700897,0.9714074730873108,0.09097838401794434,0.9256045818328857,0.2965926229953766
