samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.11317567527294159,2.3044168949127197,0.9782986044883728,0.08015310764312744,0.1656613051891327,5.034824371337891,0.0938267782330513,2.3320226669311523,0.9210069179534912,0.2355526089668274,0.1471879482269287,5.197036266326904,0.1181536614894867,2.3397557735443115,0.9626736044883728,0.10771919041872025,0.18827946484088898,4.930919170379639
200,0.12882626056671143,2.316920518875122,0.83203125,0.5488675832748413,0.2615438401699066,3.223236560821533,0.16912364959716797,2.3031444549560547,0.6875,0.8668797612190247,0.245486319065094,3.4840657711029053,0.15093930065631866,2.3475100994110107,0.6953125,1.0289156436920166,0.19887268543243408,3.4936861991882324
400,0.5448274612426758,2.115112543106079,0.9910714030265808,0.038509540259838104,0.5302924513816833,2.228482484817505,0.566121518611908,1.8346893787384033,0.9977678656578064,0.015279692597687244,0.576473593711853,1.8424943685531616,0.5542076230049133,1.9940950870513916,0.9933035969734192,0.02051594853401184,0.5632250905036926,1.995484709739685
600,0.6259341835975647,1.7216662168502808,1.0,0.005641489755362272,0.6499819755554199,1.715692400932312,0.6476761102676392,1.6233457326889038,1.0,0.005018109921365976,0.6634628772735596,1.5540107488632202,0.6759955286979675,1.509880542755127,0.9984375238418579,0.007323901169002056,0.6846319437026978,1.4706671237945557
800,0.6661164164543152,1.5515339374542236,1.0,0.003044623415917158,0.6948955655097961,1.491577386856079,0.6942824125289917,1.433935523033142,1.0,0.002242795657366514,0.7033158540725708,1.4059215784072876,0.6526540517807007,1.3567330837249756,1.0,0.009882105514407158,0.7053800821304321,1.3010199069976807
1000,0.6983901858329773,1.3324036598205566,1.0,0.002432135632261634,0.7276582717895508,1.285823941230774,0.6657708883285522,1.3428897857666016,0.9970703125,0.011545856483280659,0.7161722779273987,1.3207545280456543,0.6710176467895508,1.2842074632644653,0.998046875,0.009623756632208824,0.7370626330375671,1.2394850254058838
2000,0.7541077733039856,0.8277444839477539,0.96533203125,0.11624698340892792,0.7815160155296326,0.9395365715026855,0.7668918967247009,0.8815723061561584,0.99755859375,0.012475840747356415,0.8085298538208008,0.8709131479263306,0.8042076230049133,0.8360801339149475,0.99951171875,0.005355178378522396,0.811003565788269,0.885836124420166
4000,0.7848843932151794,0.7077884078025818,0.986855149269104,0.04457097500562668,0.8060110807418823,0.9180220365524292,0.7937013506889343,0.6864504218101501,0.9813988208770752,0.058512356132268906,0.8275664448738098,0.8286371231079102,0.8095695376396179,0.6954601407051086,0.988095223903656,0.03713110461831093,0.8408322334289551,0.7130903005599976
6000,0.8229166269302368,0.6337032318115234,0.9799423813819885,0.06438566744327545,0.8395982980728149,0.7513046860694885,0.8336916565895081,0.5966432690620422,0.9868683218955994,0.0402970053255558,0.8641905188560486,0.5976650714874268,0.8146242499351501,0.5976548194885254,0.9745123982429504,0.07863962650299072,0.8361750841140747,0.750840425491333
8000,0.8411010503768921,0.5418667197227478,0.9777500033378601,0.06889693439006805,0.8591749668121338,0.6331154108047485,0.8478066921234131,0.5270819067955017,0.9822499752044678,0.059120550751686096,0.8634341955184937,0.6519635915756226,0.8563548922538757,0.5179899334907532,0.996749997138977,0.012829280458390713,0.8804805278778076,0.5658977031707764
10000,0.852874219417572,0.49970126152038574,0.9750199317932129,0.079172782599926,0.874754786491394,0.542056143283844,0.8473587036132812,0.4965638220310211,0.9763137102127075,0.0729561522603035,0.8680623769760132,0.5610159039497375,0.8545634150505066,0.500867486000061,0.9783041477203369,0.07160753756761551,0.8586521744728088,0.6275320053100586
20000,0.8909705281257629,0.3905051052570343,0.9985523223876953,0.00638212263584137,0.9113384485244751,0.42242875695228577,0.8808610439300537,0.3920060992240906,0.9767871499061584,0.07303354144096375,0.8918808698654175,0.4567062556743622,0.8807458281517029,0.39791396260261536,0.9791833162307739,0.06778949499130249,0.8986358046531677,0.44182759523391724
30000,0.9076576828956604,0.3246769309043884,0.9971681833267212,0.01232142373919487,0.9218344688415527,0.3570069968700409,0.9026412963867188,0.3177076578140259,0.975912868976593,0.0755934789776802,0.9014390707015991,0.40651020407676697,0.9072097539901733,0.3446163833141327,0.9973680973052979,0.01023240014910698,0.92293781042099,0.3652041554450989
40000,0.9195588231086731,0.28258657455444336,0.9981499910354614,0.008213391527533531,0.9305912852287292,0.3517947196960449,0.9129043221473694,0.3045421838760376,0.9767500162124634,0.07306275516748428,0.9150911569595337,0.367328405380249,0.9164619445800781,0.29353049397468567,0.9977999925613403,0.00850315298885107,0.9302385449409485,0.3501860797405243
50000,0.9218366146087646,0.26805001497268677,0.9750040173530579,0.08193683624267578,0.9221190214157104,0.31458091735839844,0.927902340888977,0.2650589942932129,0.9986612796783447,0.005219397135078907,0.932433545589447,0.38833731412887573,0.9274289011955261,0.25393518805503845,0.973565399646759,0.08582022786140442,0.9219143390655518,0.31585705280303955
